Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
1	SORBI_3001G012300	FA(22:1)	26	SNP_1136512	1.14113e-08	1
1	SORBI_3001G012400	FA(22:1)	26	SNP_1140359	2.856593e-08	1
1	SORBI_3001G012500	FA(22:1)	51	SNP_1157449	7.211643e-07	1
1	SORBI_3001G012600	FA(22:1)	59	SNP_1162172	2.171442e-07	1
1	SORBI_3001G012700	FA(22:1)	39	SNP_1182877	2.171442e-07	1
1	SORBI_3001G026300	FA(22:1)	9	SNP_2035293	2.638565e-09	1
1	SORBI_3001G026400	FA(22:1)	11	SNP_2040866	2.638565e-09	1
1	SORBI_3001G026500	FA(22:1)	23	SNP_2040866	2.069886e-10	1
1	SORBI_3001G026600	FA(22:1)	50	SNP_2061133	4.941867e-13	1
1	SORBI_3001G026700	FA(22:1)	56	SNP_2084978	3.559528e-13	1
1	SORBI_3001G026800	FA(22:1)	80	SNP_2084978	3.559528e-13	1
1	SORBI_3001G026900	FA(22:1)	64	SNP_2086123	3.559528e-13	1
1	SORBI_3001G026950	FA(22:1)	33	SNP_2093809	3.559528e-13	1
1	SORBI_3001G027000	FA(22:1)	31	SNP_2099569	4.583466e-11	1
1	SORBI_3001G027100	FA(22:1)	26	SNP_2105171	4.583466e-11	1
1	SORBI_3001G028000	FA(22:1)	4	SNP_2173132	4.848873e-07	1
1	SORBI_3001G028100	FA(22:1)	9	SNP_2173132	2.487071e-13	1
1	SORBI_3001G028200	FA(22:1)	19	SNP_2175197	9.303456e-14	1
1	SORBI_3001G028301	FA(22:1)	15	SNP_2182553	9.303456e-14	1
1	SORBI_3001G028400	FA(22:1)	108	SNP_2231342	2.487071e-13	1
1	SORBI_3001G028500	FA(22:1)	108	SNP_2231342	2.487071e-13	1
1	SORBI_3001G028600	FA(22:1)	106	SNP_2235390	2.487071e-13	1
1	SORBI_3001G028700	FA(22:1)	103	SNP_2237084	2.487071e-13	1
1	SORBI_3001G028800	FA(22:1)	89	SNP_2239900	2.487071e-13	1
1	SORBI_3001G028900	FA(22:1)	27	SNP_2243345	2.487071e-13	1
1	SORBI_3001G030400	FA(22:1)	22	SNP_2349156	4.377061e-12	1
1	SORBI_3001G030500	FA(22:1)	39	SNP_2349156	4.377061e-12	1
1	SORBI_3001G030600	FA(22:1)	36	SNP_2353233	1.515006e-06	1
1	SORBI_3001G030800	FA(22:1)	21	SNP_2361946	1.515006e-06	1
1	SORBI_3001G030900	FA(22:1)	13	SNP_2367692	1.515006e-06	1
1	SORBI_3001G031000	FA(22:1)	9	SNP_2370521	1.515006e-06	1
1	SORBI_3001G031100	FA(22:1)	14	SNP_2372831	1.515006e-06	1
1	SORBI_3001G031200	FA(22:1)	11	SNP_2377777	1.515006e-06	1
1	SORBI_3001G031600	FA(22:1)	17	SNP_2398359	9.174934e-06	1
1	SORBI_3001G031700	FA(22:1)	21	SNP_2398359	9.174934e-06	1
1	SORBI_3001G031800	FA(22:1)	16	SNP_2408451	9.174934e-06	1
1	SORBI_3001G031900	FA(22:1)	22	SNP_2408451	9.174934e-06	1
1	SORBI_3001G032000	FA(22:1)	40	SNP_2425164	1.297915e-06	1
1	SORBI_3001G032100	FA(22:1)	57	SNP_2432777	1.156816e-06	1
1	SORBI_3001G032200	FA(22:1)	72	SNP_2435341	1.156816e-06	1
1	SORBI_3001G032300	FA(22:1)	101	SNP_2445393	1.156816e-06	1
1	SORBI_3001G032400	FA(22:1)	88	SNP_2453647	1.156816e-06	1
1	SORBI_3001G033000	FA(22:1)	40	SNP_2477834	2.695488e-06	1
1	SORBI_3001G033100	FA(22:1)	37	SNP_2485665	2.695488e-06	1
1	SORBI_3001G033200	FA(22:1)	43	SNP_2487570	2.695488e-06	1
