Chromosome	gene	max_pvalue	phenotype	phenotype_number
1	SORBI_3001G026800	9.047283e-08	Sum_PS	1
1	SORBI_3001G026900	9.047283e-08	Sum_PS	1
1	SORBI_3001G026950	9.047283e-08	Sum_PS	1
1	SORBI_3001G027000	9.047283e-08	Sum_PS	1
1	SORBI_3001G027100	9.047283e-08	Sum_PS	1
1	SORBI_3001G051500	4.693832e-08	Sum_PS	1
1	SORBI_3001G051600	4.693832e-08	Sum_PS	1
1	SORBI_3001G051700	4.693832e-08	Sum_PS	1
1	SORBI_3001G051800	4.693832e-08	Sum_PS	1
1	SORBI_3001G068132	8.018237e-08	Sum_PS	1
1	SORBI_3001G068200	8.018237e-08	Sum_PS	1
1	SORBI_3001G068301	8.018237e-08	Sum_PS	1
1	SORBI_3001G068400	8.018237e-08	Sum_PS	1
1	SORBI_3001G076500	5.5041e-08	Sum_PS	1
1	SORBI_3001G076600	5.06894e-08	Sum_PS	1
1	SORBI_3001G076700	5.06894e-08	Sum_PS	1
1	SORBI_3001G076800	5.06894e-08	Sum_PS	1
1	SORBI_3001G076850	5.06894e-08	Sum_PS	1
1	SORBI_3001G076900	5.06894e-08	Sum_PS	1
1	SORBI_3001G078400	4.590203e-08	Sum_PS	1
1	SORBI_3001G078500	4.590203e-08	Sum_PS	1
1	SORBI_3001G078600	4.590203e-08	Sum_PS	1
1	SORBI_3001G078700	4.590203e-08	Sum_PS	1
1	SORBI_3001G080500	4.888512e-08	Sum_PS	1
1	SORBI_3001G080600	4.888512e-08	Sum_PS	1
1	SORBI_3001G080700	4.888512e-08	Sum_PS	1
1	SORBI_3001G080800	5.371223e-08	Sum_PS	1
1	SORBI_3001G080900	5.371223e-08	Sum_PS	1
1	SORBI_3001G080950	5.371223e-08	Sum_PS	1
1	SORBI_3001G081000	5.371223e-08	Sum_PS	1
1	SORBI_3001G081500	8.279408e-08	Sum_PS	1
1	SORBI_3001G081600	8.279408e-08	Sum_PS	1
1	SORBI_3001G081700	8.279408e-08	Sum_PS	1
1	SORBI_3001G081800	8.279408e-08	Sum_PS	1
1	SORBI_3001G081900	8.279408e-08	Sum_PS	1
1	SORBI_3001G082000	8.279408e-08	Sum_PS	1
1	SORBI_3001G082100	8.893228e-08	Sum_PS	1
1	SORBI_3001G082200	9.253634e-08	Sum_PS	1
1	SORBI_3001G082900	6.471202e-08	Sum_PS	1
1	SORBI_3001G083000	6.471202e-08	Sum_PS	1
1	SORBI_3001G083100	3.521102e-08	Sum_PS	1
1	SORBI_3001G083200	9.391889e-09	Sum_PS	1
1	SORBI_3001G083300	9.391889e-09	Sum_PS	1
1	SORBI_3001G083400	5.697816e-08	Sum_PS	1
1	SORBI_3001G083800	3.734276e-08	Sum_PS	1
1	SORBI_3001G083900	3.734276e-08	Sum_PS	1
1	SORBI_3001G084000	3.734276e-08	Sum_PS	1
1	SORBI_3001G086900	1.479484e-08	Sum_PS	1
1	SORBI_3001G087000	1.479484e-08	Sum_PS	1
1	SORBI_3001G087100	1.479484e-08	Sum_PS	1
1	SORBI_3001G087700	1.479484e-08	Sum_PS	1
1	SORBI_3001G087800	1.479484e-08	Sum_PS	1
1	SORBI_3001G087850	1.479484e-08	Sum_PS	1
1	SORBI_3001G087900	1.479484e-08	Sum_PS	1
1	SORBI_3001G088000	1.479484e-08	Sum_PS	1
1	SORBI_3001G088100	1.479484e-08	Sum_PS	1
1	SORBI_3001G092600	1.149873e-08	Sum_PS	1
1	SORBI_3001G092650	1.149873e-08	Sum_PS	1
1	SORBI_3001G092700	1.149873e-08	Sum_PS	1
1	SORBI_3001G092800	1.149873e-08	Sum_PS	1
1	SORBI_3001G093000	1.149873e-08	Sum_PS	1
1	SORBI_3001G093100	1.149873e-08	Sum_PS	1
1	SORBI_3001G093200	1.280704e-08	Sum_PS	1
1	SORBI_3001G093300	1.280704e-08	Sum_PS	1
1	SORBI_3001G093400	1.280704e-08	Sum_PS	1
1	SORBI_3001G093500	1.280704e-08	Sum_PS	1
1	SORBI_3001G093600	1.280704e-08	Sum_PS	1
1	SORBI_3001G093666	1.280704e-08	Sum_PS	1
1	SORBI_3001G093732	1.280704e-08	Sum_PS	1
1	SORBI_3001G093800	1.280704e-08	Sum_PS	1
1	SORBI_3001G094900	3.979622e-08	Sum_PS	1
1	SORBI_3001G095000	3.979622e-08	Sum_PS	1
1	SORBI_3001G095100	3.979622e-08	Sum_PS	1
1	SORBI_3001G096800	6.457994e-09	Sum_PS	1
1	SORBI_3001G096833	6.457994e-09	Sum_PS	1
1	SORBI_3001G096866	6.457994e-09	Sum_PS	1
1	SORBI_3001G096900	6.457994e-09	Sum_PS	1
1	SORBI_3001G097000	6.457994e-09	Sum_PS	1
1	SORBI_3001G097100	6.457994e-09	Sum_PS	1
1	SORBI_3001G098900	9.303099e-08	Sum_PS	1
1	SORBI_3001G099000	9.303099e-08	Sum_PS	1
1	SORBI_3001G099100	9.303099e-08	Sum_PS	1
1	SORBI_3001G099200	9.303099e-08	Sum_PS	1
1	SORBI_3001G099300	9.303099e-08	Sum_PS	1
1	SORBI_3001G099500	7.52818e-09	Sum_PS	1
1	SORBI_3001G099600	7.52818e-09	Sum_PS	1
1	SORBI_3001G099700	4.239734e-09	Sum_PS	1
1	SORBI_3001G099800	4.239734e-09	Sum_PS	1
1	SORBI_3001G099900	4.239734e-09	Sum_PS	1
1	SORBI_3001G100000	6.626476e-09	Sum_PS	1
1	SORBI_3001G100100	3.499252e-09	Sum_PS	1
1	SORBI_3001G100200	3.499252e-09	Sum_PS	1
1	SORBI_3001G100300	3.499252e-09	Sum_PS	1
1	SORBI_3001G100400	3.499252e-09	Sum_PS	1
1	SORBI_3001G100501	3.499252e-09	Sum_PS	1
1	SORBI_3001G100600	3.499252e-09	Sum_PS	1
1	SORBI_3001G100650	3.499252e-09	Sum_PS	1
1	SORBI_3001G100700	3.499252e-09	Sum_PS	1
1	SORBI_3001G100800	3.499252e-09	Sum_PS	1
1	SORBI_3001G100900	3.568279e-09	Sum_PS	1
1	SORBI_3001G101000	3.414219e-09	Sum_PS	1
1	SORBI_3001G101100	3.414219e-09	Sum_PS	1
1	SORBI_3001G101200	3.414219e-09	Sum_PS	1
1	SORBI_3001G101300	3.499252e-09	Sum_PS	1
1	SORBI_3001G101400	3.499252e-09	Sum_PS	1
1	SORBI_3001G101500	3.499252e-09	Sum_PS	1
1	SORBI_3001G101600	1.069869e-08	Sum_PS	1
