Chromosome	gene	max_pvalue	phenotype	phenotype_number
1	SORBI_3001G014200	1.245577e-06	Sum_SQDG	1
1	SORBI_3001G014300	1.245577e-06	Sum_SQDG	1
1	SORBI_3001G014400	1.245577e-06	Sum_SQDG	1
1	SORBI_3001G014500	1.245577e-06	Sum_SQDG	1
1	SORBI_3001G014600	1.245577e-06	Sum_SQDG	1
1	SORBI_3001G296700	8.145522e-06	Sum_SQDG	1
1	SORBI_3001G296800	8.145522e-06	Sum_SQDG	1
1	SORBI_3001G305900	5.027807e-06	Sum_SQDG	1
1	SORBI_3001G306000	5.027807e-06	Sum_SQDG	1
1	SORBI_3001G306101	5.027807e-06	Sum_SQDG	1
1	SORBI_3001G306200	5.027807e-06	Sum_SQDG	1
1	SORBI_3001G360500	9.268606e-06	Sum_SQDG	1
1	SORBI_3001G360600	9.268606e-06	Sum_SQDG	1
1	SORBI_3001G360800	3.489245e-06	Sum_SQDG	1
1	SORBI_3001G360900	3.489245e-06	Sum_SQDG	1
2	SORBI_3002G158401	5.042963e-06	Sum_SQDG	1
3	SORBI_3003G193700	8.601899e-06	Sum_SQDG	1
3	SORBI_3003G193800	8.601899e-06	Sum_SQDG	1
5	SORBI_3005G051500	5.611734e-06	Sum_SQDG	1
5	SORBI_3005G195301	3.304455e-06	Sum_SQDG	1
5	SORBI_3005G195400	3.304455e-06	Sum_SQDG	1
5	SORBI_3005G195600	3.304455e-06	Sum_SQDG	1
6	SORBI_3006G214400	2.6396e-06	Sum_SQDG	1
6	SORBI_3006G214500	2.6396e-06	Sum_SQDG	1
6	SORBI_3006G214600	2.6396e-06	Sum_SQDG	1
6	SORBI_3006G214700	2.6396e-06	Sum_SQDG	1
6	SORBI_3006G214800	2.6396e-06	Sum_SQDG	1
10	SORBI_3010G157500	7.060585e-06	Sum_SQDG	1
