Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
1	SORBI_3001G384300	PC(16:0_20:3);PC(16:0_22:5);PC(16:0_22:6);PC(18:1_20:1);PC(18:1_24:1);PC(18:2_20:0);PC(18:3_0:0)	220;215;213;218;220;195;212	SNP_67162446;SNP_67162446;SNP_67165032;SNP_67162446;SNP_67162446;SNP_67165032;SNP_67162446	2.03976e-08;5.716941e-09;8.227493e-08;6.444877e-08;6.588424e-11;3.333248e-08;3.545236e-08	7
1	SORBI_3001G384400	PC(16:0_20:3);PC(16:0_22:5);PC(16:0_22:6);PC(18:1_20:1);PC(18:1_24:1);PC(18:2_20:0);PC(18:3_0:0)	228;215;225;212;226;195;223	SNP_67174430;SNP_67174430;SNP_67177689;SNP_67174430;SNP_67174430;SNP_67180494;SNP_67180494	2.03976e-08;5.716941e-09;7.824566e-08;6.444877e-08;6.588424e-11;3.333248e-08;3.222286e-08	7
1	SORBI_3001G384500	PC(16:0_20:3);PC(16:0_22:5);PC(16:0_22:6);PC(18:1_20:1);PC(18:1_24:1);PC(18:2_20:0);PC(18:3_0:0)	229;220;228;211;227;196;226	SNP_67177689;SNP_67177689;SNP_67177689;SNP_67177689;SNP_67177689;SNP_67180494;SNP_67180494	2.03976e-08;5.716941e-09;7.824566e-08;6.444877e-08;6.588424e-11;3.333248e-08;3.222286e-08	7
1	SORBI_3001G311900	PC(14:0_18:0);PC(14:0_18:2);PC(16:0_16:0);PC(16:0_22:6);PC(18:3_0:0)	158;211;157;173;160	SNP_59863859;SNP_59863859;SNP_59863859;SNP_59863859;SNP_59863859	1.302629e-09;2.116827e-08;2.329328e-08;1.389286e-08;9.327851e-09	5
1	SORBI_3001G383800	PC(16:0_22:5);PC(18:0_18:3);PC(18:0_20:4);PC(18:1_20:1);PC(18:1_24:1)	33;45;49;46;54	SNP_67110592;SNP_67111175;SNP_67111038;SNP_67111175;SNP_67111175	1.31225e-10;3.354081e-08;5.182315e-09;1.381548e-08;2.002883e-12	5
1	SORBI_3001G383900	PC(16:0_22:5);PC(18:0_18:3);PC(18:0_20:4);PC(18:1_20:1);PC(18:1_24:1)	32;45;47;46;54	SNP_67115602;SNP_67116220;SNP_67116582;SNP_67116220;SNP_67115602	1.31225e-10;3.354081e-08;5.182315e-09;1.381548e-08;2.002883e-12	5
1	SORBI_3001G384000	PC(16:0_22:5);PC(18:0_18:3);PC(18:0_20:4);PC(18:1_20:1);PC(18:1_24:1)	94;82;82;81;96	SNP_67130903;SNP_67126525;SNP_67126525;SNP_67126525;SNP_67126525	1.31225e-10;3.354081e-08;5.182315e-09;1.381548e-08;2.002883e-12	5
1	SORBI_3001G384100	PC(16:0_22:5);PC(18:0_18:3);PC(18:0_20:4);PC(18:1_20:1);PC(18:1_24:1)	124;85;82;85;119	SNP_67132006;SNP_67132006;SNP_67132006;SNP_67132006;SNP_67132006	1.31225e-10;3.354081e-08;5.182315e-09;1.381548e-08;2.002883e-12	5
1	SORBI_3001G312000	PC(14:0_18:0);PC(16:0_16:0);PC(16:0_22:6);PC(18:3_0:0)	174;176;206;192	SNP_59869722;SNP_59869722;SNP_59869570;SNP_59869570	1.302629e-09;2.329328e-08;1.389286e-08;9.327851e-09	4
1	SORBI_3001G312100	PC(14:0_18:0);PC(16:0_16:0);PC(16:0_22:6);PC(18:3_0:0)	231;241;273;262	SNP_59873946;SNP_59873946;SNP_59873692;SNP_59873824	7.035213e-10;1.980922e-08;1.389286e-08;9.327851e-09	4
1	SORBI_3001G312200	PC(14:0_18:0);PC(16:0_16:0);PC(16:0_22:6);PC(18:3_0:0)	230;240;266;255	SNP_59876826;SNP_59876826;SNP_59876720;SNP_59876826	7.035213e-10;1.980922e-08;1.389286e-08;9.327851e-09	4
1	SORBI_3001G312300	PC(14:0_18:0);PC(16:0_16:0);PC(16:0_22:6);PC(18:3_0:0)	207;217;240;232	SNP_59880408;SNP_59880408;SNP_59880224;SNP_59880224	7.035213e-10;1.980922e-08;1.389286e-08;9.327851e-09	4
1	SORBI_3001G312350	PC(14:0_18:0);PC(16:0_16:0);PC(16:0_22:6);PC(18:3_0:0)	193;203;222;214	SNP_59885379;SNP_59885379;SNP_59885379;SNP_59885379	7.035213e-10;1.980922e-08;1.389286e-08;9.327851e-09	4
1	SORBI_3001G312400	PC(14:0_18:0);PC(16:0_16:0);PC(16:0_22:6);PC(18:3_0:0)	136;148;154;158	SNP_59890778;SNP_59890778;SNP_59890778;SNP_59890778	7.035213e-10;1.980922e-08;3.038293e-08;2.829412e-08	4
1	SORBI_3001G384600	PC(16:0_20:3);PC(16:0_22:6);PC(18:1_24:1);PC(18:3_0:0)	71;70;76;71	SNP_67188844;SNP_67188844;SNP_67188844;SNP_67188844	4.396026e-08;7.824566e-08;6.250256e-08;3.222286e-08	4
