Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
1	SORBI_3001G057100	AEG_o_30_2_,DG_38_3_,FA_22_1_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	8,22,54,13,8,13,24,24,17,9,19,9,19,19,6,19	SNP_4294935,SNP_4287447,SNP_4291515,SNP_4294935,SNP_4303626,SNP_4293444,SNP_4296963,SNP_4295123,SNP_4293444,SNP_4296584,SNP_4295123,SNP_4296476,SNP_4295123,SNP_4293444,SNP_4303626,SNP_4296584	4.517329e-15,8.04332e-10,7.741034e-10,1.517901e-18,4.753417e-12,2.260136e-13,6.781664e-14,6.40724e-20,3.343361e-39,2.283938e-09,2.33134e-15,3.876274e-24,1.399465e-14,6.983884e-67,3.14031e-08,3.823809e-10	16
3	SORBI_3003G169600	AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	55,40,52,47,58,45,63,66,46,70,65,49,72,34,47	SNP_29144290,SNP_29126774,SNP_29137353,SNP_29137119,SNP_29138063,SNP_29137353,SNP_29138063,SNP_29136879,SNP_29136879,SNP_29136879,SNP_29136879,SNP_29136824,SNP_29136824,SNP_29136879,SNP_29136879	4.517329e-15,8.04332e-10,1.517901e-18,4.753417e-12,2.260136e-13,6.781664e-14,6.40724e-20,3.343361e-39,2.283938e-09,2.33134e-15,3.876274e-24,1.399465e-14,6.983884e-67,3.14031e-08,3.823809e-10	15
3	SORBI_3003G169700	AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	40,35,34,36,50,36,59,58,34,55,54,41,61,26,36	SNP_29144290,SNP_29144290,SNP_29144290,SNP_29144290,SNP_29144290,SNP_29148040,SNP_29144290,SNP_29144290,SNP_29151070,SNP_29144290,SNP_29144290,SNP_29144290,SNP_29144290,SNP_29144290,SNP_29144290	4.517329e-15,8.04332e-10,1.517901e-18,4.753417e-12,2.260136e-13,6.781664e-14,6.40724e-20,3.343361e-39,2.283938e-09,2.33134e-15,3.876274e-24,1.399465e-14,6.983884e-67,3.14031e-08,3.823809e-10	15
3	SORBI_3003G169800	AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	28,28,19,24,38,35,45,45,34,45,42,32,47,24,35	SNP_29150223,SNP_29151063,SNP_29151218,SNP_29151117,SNP_29150263,SNP_29151063,SNP_29151063,SNP_29151063,SNP_29151070,SNP_29151063,SNP_29151063,SNP_29151070,SNP_29151063,SNP_29151063,SNP_29150263	4.517329e-15,8.04332e-10,1.517901e-18,4.753417e-12,2.260136e-13,6.781664e-14,6.40724e-20,3.343361e-39,2.283938e-09,2.33134e-15,3.876274e-24,1.399465e-14,6.983884e-67,3.14031e-08,3.823809e-10	15
5	SORBI_3005G041700	AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	45,20,15,21,10,13,20,50,37,17,27,8,71,62,85	SNP_3848406,SNP_3850277,SNP_3850986,SNP_3850986,SNP_3851091,SNP_3851004,SNP_3850986,SNP_3850807,SNP_3854696,SNP_3850986,SNP_3850986,SNP_3854698,SNP_3850986,SNP_3850986,SNP_3848406	4.960054e-15,8.022854e-10,1.703414e-18,5.134263e-12,2.266201e-13,7.135519e-14,6.261336e-20,3.34335e-39,2.280158e-09,2.336293e-15,3.984872e-24,1.362047e-14,7.686025e-67,3.122814e-08,3.888805e-10	15
5	SORBI_3005G041800	AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	40,17,12,20,9,12,19,46,37,16,25,9,69,63,81	SNP_3854183,SNP_3853872,SNP_3854196,SNP_3867080,SNP_3854682,SNP_3854242,SNP_3854798,SNP_3854615,SNP_3854696,SNP_3854189,SNP_3854189,SNP_3854698,SNP_3854615,SNP_3854843,SNP_3854843	4.960054e-15,8.022854e-10,1.703414e-18,5.134263e-12,2.266201e-13,7.135519e-14,6.261336e-20,3.34335e-39,2.280158e-09,2.336293e-15,3.984872e-24,1.362047e-14,7.686025e-67,3.122814e-08,3.888805e-10	15
5	SORBI_3005G041900	AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	22,19,11,23,5,2,16,38,33,10,17,11,69,63,80	SNP_3863979,SNP_3869181,SNP_3866404,SNP_3867080,SNP_3870892,SNP_3875200,SNP_3869794,SNP_3867080,SNP_3870892,SNP_3874674,SNP_3871035,SNP_3875200,SNP_3867080,SNP_3867962,SNP_3864748	4.960054e-15,8.022854e-10,1.703414e-18,5.134263e-12,2.266201e-13,7.135519e-14,6.261336e-20,3.34335e-39,2.280158e-09,2.336293e-15,3.984872e-24,1.362047e-14,7.686025e-67,3.122814e-08,3.888805e-10	15
5	SORBI_3005G042000	AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	22,21,11,24,5,2,18,38,33,10,17,11,71,64,81	SNP_3863979,SNP_3869181,SNP_3866404,SNP_3867080,SNP_3870892,SNP_3875200,SNP_3869794,SNP_3867080,SNP_3870892,SNP_3874674,SNP_3871035,SNP_3875200,SNP_3867080,SNP_3867962,SNP_3864748	4.960054e-15,8.022854e-10,1.703414e-18,5.134263e-12,2.266201e-13,7.135519e-14,6.261336e-20,3.34335e-39,2.280158e-09,2.336293e-15,3.984872e-24,1.362047e-14,7.686025e-67,3.122814e-08,3.888805e-10	15
5	SORBI_3005G042100	AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	8,25,11,25,6,2,27,39,40,15,20,11,75,70,81	SNP_3865765,SNP_3869181,SNP_3866404,SNP_3867080,SNP_3870892,SNP_3875200,SNP_3869794,SNP_3867080,SNP_3870892,SNP_3874674,SNP_3871035,SNP_3875200,SNP_3867080,SNP_3867962,SNP_3866182	4.960054e-15,8.022854e-10,1.703414e-18,5.134263e-12,2.266201e-13,7.135519e-14,6.261336e-20,3.34335e-39,2.280158e-09,2.336293e-15,3.984872e-24,1.362047e-14,7.686025e-67,3.122814e-08,3.888805e-10	15
10	SORBI_3010G064100	TG_40_0_,TG_42_1_,TG_44_1_,TG_46_1_,TG_46_2_,TG_48_1_,TG_48_3_,TG_50_1_,TG_52_6_,TG_54_9_,TG_56_5_,TG_58_1_	3,15,14,9,36,29,18,22,4,1,6,16	SNP_5083051,SNP_5067529,SNP_5062845,SNP_5073493,SNP_5062100,SNP_5062212,SNP_5067711,SNP_5063018,SNP_5077738,SNP_5077738,SNP_5075244,SNP_5067529	4.76326e-09,2.384248e-11,1.684101e-12,6.234566e-13,6.294495e-16,9.058486e-08,1.656292e-09,1.668824e-08,8.897315e-09,1.103195e-08,3.021232e-10,3.397631e-16	12
