,EV1,EV2,EV3,EV4,EV5
PI533830,-0.016173205,-0.029612769,-0.027715206,0.010379781,-0.00530264
PI533915,0.010969739,-0.002941773,0.017533068,-0.011402748,-0.003580591
PI533949,-0.049073364,0.036784902,-0.04059767,0.003483955,-0.016531098
PI576337,0.021199073,-0.007493568,0.056309064,-0.015984782,-0.018444243
PI576396,-0.067248533,0.032192679,-0.088887547,-0.017120639,-0.002781209
PI576434,-0.044884615,0.01023042,-0.062419039,-0.008674767,0.017286164
PI655987,0.095689474,0.054574256,0.008149586,0.03890863,-0.089323243
PI656020,0.064579504,0.038509733,0.055972704,0.052934473,-0.021877726
PI533903,0.01305038,-0.058210357,-0.038066577,-0.027058624,0.110362306
PI656007,0.030234858,0.052569194,0.004713177,0.037008437,-0.001246049
PI534047,-0.033358352,-0.001319713,0.029959045,0.010318684,-0.031569606
PI533785,0.015278326,-0.027295921,0.044952998,-0.155945028,0.000761206
PI533831,-0.046999412,-0.022807792,-0.00807717,-0.015298302,-0.083116434
PI552861,0.009106172,0.075564832,0.019980318,0.043672461,0.02633871
PI34911,-0.070194646,0.036405521,-0.055643552,0.010994893,-0.049880619
PI35038,0.090993438,0.060357388,-0.000620748,0.008472446,0.01199424
PI48770,0.10085156,0.082081795,-0.002768258,0.010120585,-0.004954651
PI533750,0.010528359,-0.07415856,-0.011741684,0.040238086,0.019906865
PI533754,0.002427235,-0.061533936,0.020450616,0.003075792,0.004446173
PI533755,-0.027455643,-0.04047444,0.027220224,-0.007730332,-0.098112226
PI533757,-0.075918406,0.04766792,-0.039680152,0.026513531,0.025097476
PI533758,-0.055294332,0.04317672,-0.039203284,0.028455362,-7.63E-05
PI533760,-0.075694393,0.045070392,-0.024347669,0.016468046,0.031099896
PI533761,-0.033724679,-0.004548292,0.000245207,-0.03344727,-0.053745277
PI533762,-0.035840644,-0.002078908,-0.05895833,-0.023138263,-0.052010438
PI533766,0.002179446,-0.024821046,0.03326469,-0.135815375,-0.016660594
PI533769,-0.04273974,0.000227807,-0.042030566,-0.003371548,-0.032053832
PI533776,0.004028666,-0.0319578,0.052642531,-0.149749677,-0.038274042
PI533788,-0.016852992,-0.028833317,-0.051086296,0.027430322,0.010397838
PI533789,-0.024228903,-0.013273407,0.02086587,-0.011971858,-0.052771147
PI533794,-0.091333815,0.049997694,-0.001320286,0.044671814,0.055083862
PI533799,-0.083969924,0.061552761,0.005972011,0.038291317,0.058875176
PI533800,-0.072285132,0.02195851,0.071386822,0.041630327,0.031949227
PI533807,-0.04340942,0.010255343,-0.032004313,-0.009128502,0.021325403
PI533810,0.02331327,-0.081311497,-0.019149439,0.072807301,0.037818531
PI533814,0.016484237,-0.103563159,-0.018464254,0.059270149,0.017629967
PI533821,0.018113717,0.007485749,-0.034290078,-0.044374227,0.039706872
PI533822,-0.045541287,0.024815318,-0.070578493,-0.020556569,-0.012763423
PI533824,-0.005895832,-0.059737848,-0.063837094,-0.014893395,0.052935634
PI533833,-0.050171972,0.030006719,-0.027575923,0.01140184,0.032043985
PI533841,0.005769147,-0.010237465,0.054229985,-0.116117579,-0.003347574
PI533842,0.013761706,-0.09649671,-0.027904079,0.075529278,0.018299633
PI533843,0.02732346,-0.028449935,-0.063016538,-0.011227176,0.009405063
PI533852,0.014733298,-0.061974722,0.008904719,0.059428896,0.033947906
PI533856,0.027326421,-0.073506237,0.019439957,0.082177421,0.016208976
PI533866,0.002218879,-0.02801532,0.069310301,-0.08780924,-0.006897154
PI533869,0.040243819,0.037617347,-0.037053308,-0.059224118,0.046612287
PI533871,-0.004980873,-0.011898729,0.054950579,-0.101502156,-0.007456487
PI533876,-0.032196895,-0.005826661,-0.002641289,-0.021278624,-0.03991298
PI533877,-0.00162891,-0.030762315,0.052687711,-0.138603014,-0.019032188
PI533878,0.01419309,-0.006862122,0.016423036,-0.131277396,-0.024849355
PI533882,-0.010970298,-0.023725014,0.060284431,-0.108382653,-0.028855786
PI533901,-0.025220146,0.008651655,-0.048164826,-0.006811873,-0.016531272
PI533910,-0.020562548,-0.00495089,-0.051328969,0.006591882,-0.078743285
PI533911,-0.02989054,-0.004082869,0.025513308,-0.009179786,-0.018240765
PI533912,-0.022826068,0.007177636,-0.096370022,-0.025246064,-0.088142985
PI533913,-0.014363358,0.025332752,-0.055842117,-0.030638306,0.049487672
PI533919,0.010778729,-0.08956813,-0.048698684,0.002584885,0.068789918
PI533924,0.019790808,-0.048294104,-0.037270552,-0.010132968,0.101287247
PI533927,0.030825028,0.003063601,-0.0669776,-0.054265693,0.06807463
PI533936,0.095688957,0.053188381,-0.011288438,0.011588216,-0.013368221
PI533938,0.036170233,0.004125672,-0.018878883,-0.011286866,-0.022405835
PI533939,-0.012105235,0.007140799,0.017511918,-0.028338612,-0.011986751
PI533940,0.080777018,0.036382209,-0.001727052,0.004373851,0.051726281
PI533943,0.040054744,-0.051384895,0.033074946,0.056421527,0.025877301
PI533948,0.106985277,0.08314075,-0.009024126,0.017353951,-0.057233698
PI533955,0.102986048,0.07293767,-0.02448137,0.010063209,0.035628387
PI533956,0.014865799,-0.001808276,0.02371122,-0.040334729,0.002174176
PI533957,0.006162197,-0.002072809,-0.071677495,-0.026369474,0.013637737
PI533961,-0.052087262,0.047518021,-0.059884931,0.016994844,-0.044041496
PI533962,-0.078739321,0.040035871,-0.057980064,0.014628339,0.008515033
PI533965,-0.06786075,0.032830136,-0.105601371,-0.023049727,-0.008866191
PI533967,-0.068743837,0.040173225,-0.043281623,0.022649211,0.00049105
PI533970,-0.065687389,0.052103919,-0.048230831,0.015891325,0.004451554
PI533976,-0.03685607,0.042815129,-0.054635476,-0.003688872,0.001135043
PI533979,0.109291439,0.071377152,-0.000271894,0.037898579,-0.037086678
PI533980,-0.042776707,-0.023927118,0.003739396,-0.01326121,-0.065626039
PI533985,-0.054313591,0.028640445,-0.03151448,0.010248146,-0.012238061
PI533986,-0.046852775,0.023430775,-0.041205819,-0.00942007,-0.032328899
PI533989,-0.070730861,0.043643043,-0.046026685,0.018538956,0.004195384
PI533996,-0.027349722,0.000658419,0.020690378,-0.009507711,-0.039649173
PI533997,0.026596692,0.000355316,-0.036479137,-0.048837895,0.048604682
PI534009,0.01613946,-0.079124852,0.010797932,0.015630495,-0.001552972
PI534021,0.018017496,-0.100840751,-0.031596465,0.078053444,0.002460104
PI534028,0.028238005,-0.0754243,-0.041385927,0.074126935,0.038674919
PI534037,0.04647775,0.003028114,-0.043823136,-0.091022514,0.01347399
PI534053,-0.035304364,-0.037699416,-0.03348053,-0.006689999,-0.078569116
PI534054,0.069801439,0.046382931,-0.037590018,-0.04897155,0.038283213
PI534063,0.005299497,-0.017702018,0.070269593,-0.121014059,0.006129023
PI534070,0.005438691,-0.012980647,0.059607651,-0.147758738,-0.006372662
PI534075,0.008438801,-0.026672592,0.063136943,-0.114727544,-0.020751926
PI534079,-0.03137205,-0.001289817,-0.029823141,-0.029779899,0.008118152
PI534088,0.007255917,-0.026669739,0.055111934,-0.152900414,-0.037787575
PI534092,0.004366562,-0.018813603,0.00333721,-0.136454605,-0.040018367
PI534096,0.030094353,-0.023935653,-0.0211883,-0.124753925,0.170710035
