Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
1	SORBI_3001G008400	Sum_TG	62	SNP_780184	4.345266e-06	1
1	SORBI_3001G023000	Sum_TG	184	SNP_1833678	1.226213e-06	1
1	SORBI_3001G023100	Sum_TG	89	SNP_1838278	1.226213e-06	1
1	SORBI_3001G023200	Sum_TG	40	SNP_1846641	1.226213e-06	1
1	SORBI_3001G023300	Sum_TG	41	SNP_1856728	1.226213e-06	1
1	SORBI_3001G023400	Sum_TG	43	SNP_1856728	1.226213e-06	1
1	SORBI_3001G040000	Sum_TG	17	SNP_2974244	1.35471e-06	1
1	SORBI_3001G040100	Sum_TG	17	SNP_2974244	1.35471e-06	1
1	SORBI_3001G040200	Sum_TG	16	SNP_2977374	1.35471e-06	1
1	SORBI_3001G040800	Sum_TG	4	SNP_3043189	6.885234e-06	1
1	SORBI_3001G040900	Sum_TG	107	SNP_3043189	4.502713e-06	1
1	SORBI_3001G041000	Sum_TG	107	SNP_3043189	4.502713e-06	1
1	SORBI_3001G041100	Sum_TG	106	SNP_3045560	4.502713e-06	1
1	SORBI_3001G041200	Sum_TG	106	SNP_3045560	4.502713e-06	1
1	SORBI_3001G041300	Sum_TG	106	SNP_3054762	4.502713e-06	1
1	SORBI_3001G041400	Sum_TG	14	SNP_3075044	1.174246e-06	1
1	SORBI_3001G041450	Sum_TG	16	SNP_3075044	1.174246e-06	1
1	SORBI_3001G041500	Sum_TG	14	SNP_3079650	1.174246e-06	1
1	SORBI_3001G043100	Sum_TG	210	SNP_3220307	5.631618e-06	1
1	SORBI_3001G043200	Sum_TG	234	SNP_3227917	5.631618e-06	1
1	SORBI_3001G043300	Sum_TG	237	SNP_3233206	5.631618e-06	1
1	SORBI_3001G043400	Sum_TG	197	SNP_3238464	5.631618e-06	1
1	SORBI_3001G043800	Sum_TG	79	SNP_3268356	3.286436e-06	1
1	SORBI_3001G043900	Sum_TG	26	SNP_3279528	3.286436e-06	1
1	SORBI_3001G044000	Sum_TG	27	SNP_3279528	3.286436e-06	1
1	SORBI_3001G044100	Sum_TG	20	SNP_3288875	3.286436e-06	1
1	SORBI_3001G044200	Sum_TG	19	SNP_3289894	3.286436e-06	1
1	SORBI_3001G044300	Sum_TG	17	SNP_3293645	3.286436e-06	1
1	SORBI_3001G044400	Sum_TG	12	SNP_3296911	3.286436e-06	1
1	SORBI_3001G147000	Sum_TG	24	SNP_11804239	8.80144e-06	1
1	SORBI_3001G147100	Sum_TG	37	SNP_11816013	8.80144e-06	1
1	SORBI_3001G147200	Sum_TG	54	SNP_11818281	8.80144e-06	1
1	SORBI_3001G147300	Sum_TG	61	SNP_11822527	8.80144e-06	1
1	SORBI_3001G147400	Sum_TG	58	SNP_11826528	8.80144e-06	1
1	SORBI_3001G183200	Sum_TG	41	SNP_15533280	1.777005e-07	1
1	SORBI_3001G184300	Sum_TG	39	SNP_15777513	4.617101e-06	1
1	SORBI_3001G184400	Sum_TG	51	SNP_15777513	4.617101e-06	1
1	SORBI_3001G200200	Sum_TG	19	SNP_18124458	2.888346e-07	1
1	SORBI_3001G200300	Sum_TG	24	SNP_18145016	2.888346e-07	1
1	SORBI_3001G200400	Sum_TG	21	SNP_18150266	2.888346e-07	1
1	SORBI_3001G200500	Sum_TG	41	SNP_18151757	2.888346e-07	1
1	SORBI_3001G200600	Sum_TG	52	SNP_18153434	2.888346e-07	1
1	SORBI_3001G203400	Sum_TG	19	SNP_18520498	8.201559e-06	1
1	SORBI_3001G203450	Sum_TG	19	SNP_18520498	8.201559e-06	1
1	SORBI_3001G203500	Sum_TG	11	SNP_18521002	8.201559e-06	1
1	SORBI_3001G204700	Sum_TG	57	SNP_18685610	8.300306e-06	1
1	SORBI_3001G204800	Sum_TG	57	SNP_18685610	8.300306e-06	1
1	SORBI_3001G205950	Sum_TG	3	SNP_18819672	3.272183e-06	1
1	SORBI_3001G206000	Sum_TG	29	SNP_18819672	4.172265e-07	1
1	SORBI_3001G206100	Sum_TG	29	SNP_18819672	4.172265e-07	1
1	SORBI_3001G210300	Sum_TG	28	SNP_19291037	5.233671e-06	1
1	SORBI_3001G222000	Sum_TG	446	SNP_21106114	8.875297e-08	1
1	SORBI_3001G223200	Sum_TG	32	SNP_21372584	2.487096e-06	1
1	SORBI_3001G223300	Sum_TG	32	SNP_21396622	4.05072e-06	1
1	SORBI_3001G231800	Sum_TG	63	SNP_22386203	2.024301e-07	1
1	SORBI_3001G276000	Sum_TG	98	SNP_53741844	6.367411e-06	1
1	SORBI_3001G276400	Sum_TG	85	SNP_53870608	5.562869e-06	1
1	SORBI_3001G293600	Sum_TG	6	SNP_57121053	3.676533e-06	1
1	SORBI_3001G293633	Sum_TG	6	SNP_57121053	3.676533e-06	1
1	SORBI_3001G293666	Sum_TG	5	SNP_57129964	3.676533e-06	1
1	SORBI_3001G300000	Sum_TG	19	SNP_58101649	6.614454e-07	1
1	SORBI_3001G300033	Sum_TG	28	SNP_58123166	6.614454e-07	1
1	SORBI_3001G300066	Sum_TG	26	SNP_58129642	6.614454e-07	1
1	SORBI_3001G300201	Sum_TG	15	SNP_58155152	4.294033e-06	1
1	SORBI_3001G300301	Sum_TG	12	SNP_58155152	4.294033e-06	1
1	SORBI_3001G300400	Sum_TG	13	SNP_58164518	4.294033e-06	1
1	SORBI_3001G352100	Sum_TG	112	SNP_64140139	7.525353e-07	1
1	SORBI_3001G352200	Sum_TG	167	SNP_64140139	7.525353e-07	1
1	SORBI_3001G352300	Sum_TG	169	SNP_64140139	7.525353e-07	1
1	SORBI_3001G352400	Sum_TG	170	SNP_64140139	7.525353e-07	1
1	SORBI_3001G467800	Sum_TG	6	SNP_74079738	6.045888e-06	1
1	SORBI_3001G468000	Sum_TG	4	SNP_74088604	6.045888e-06	1
1	SORBI_3001G476900	Sum_TG	12	SNP_74949314	5.550929e-06	1
1	SORBI_3001G477100	Sum_TG	2	SNP_74958931	5.550929e-06	1
1	SORBI_3001G477200	Sum_TG	2	SNP_74958931	5.550929e-06	1
2	SORBI_3002G009900	Sum_TG	34	SNP_898407	1.915181e-06	1
2	SORBI_3002G010000	Sum_TG	26	SNP_912993	1.915181e-06	1
2	SORBI_3002G016100	Sum_TG	35	SNP_1412711	8.498219e-06	1
2	SORBI_3002G016200	Sum_TG	36	SNP_1425852	8.498219e-06	1
2	SORBI_3002G027800	Sum_TG	9	SNP_2568226	8.612457e-06	1
2	SORBI_3002G027901	Sum_TG	9	SNP_2584106	8.612457e-06	1
2	SORBI_3002G028000	Sum_TG	15	SNP_2584106	2.69994e-06	1
2	SORBI_3002G028100	Sum_TG	22	SNP_2584106	2.69994e-06	1
2	SORBI_3002G028201	Sum_TG	21	SNP_2588800	2.69994e-06	1
2	SORBI_3002G028300	Sum_TG	21	SNP_2588800	2.69994e-06	1
