Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
5	SORBI_3005G064300	Sum_DG_Sum_LPC;Sum_DGDG_Sum_LPC;Sum_LPC_Sum_MGDG;Sum_LPC_Sum_SQDG;Sum_LPC_Sum_TG;Sum_PC_Sum_PE;Sum_PC_Sum_PG;Sum_PC_Sum_SM;Sum_PC_Sum_TG	55;89;17;71;15;67;82;82;40	SNP_7086701;SNP_7086009;SNP_7106579;SNP_7105404;SNP_7106698;SNP_7107719;SNP_7107452;SNP_7106468;SNP_7106468	4.749277e-13;6.700661e-12;7.005778e-06;2.057833e-08;6.92371e-09;4.742623e-07;4.689643e-08;2.60633e-07;3.22337e-09	9
5	SORBI_3005G064400	Sum_DG_Sum_LPC;Sum_DGDG_Sum_LPC;Sum_LPC_Sum_MGDG;Sum_LPC_Sum_SQDG;Sum_LPC_Sum_TG;Sum_PC_Sum_PE;Sum_PC_Sum_PG;Sum_PC_Sum_SM;Sum_PC_Sum_TG	50;70;45;69;14;39;73;85;39	SNP_7128892;SNP_7128647;SNP_7106579;SNP_7106477;SNP_7106698;SNP_7109649;SNP_7109122;SNP_7106493;SNP_7106673	7.90141e-12;4.812378e-11;7.005778e-06;2.057833e-08;6.92371e-09;4.742623e-07;4.689643e-08;2.60633e-07;3.22337e-09	9
1	SORBI_3001G476700	Sum_DG_Sum_PC;Sum_DGDG_Sum_PC;Sum_LPC_Sum_PC;Sum_LPC_Sum_SQDG;Sum_LPE_Sum_PC;Sum_MG_Sum_PC;Sum_MGDG_Sum_PC;Sum_PA_Sum_PC	9;10;17;20;3;11;22;18	SNP_74947832;SNP_74947832;SNP_74947832;SNP_74946485;SNP_74947832;SNP_74947832;SNP_74946653;SNP_74947832	1.049875e-11;9.024652e-12;3.226701e-12;7.865221e-155;3.008556e-19;4.04804e-12;3.820873e-10;2.463007e-25	8
1	SORBI_3001G476800	Sum_DG_Sum_PC;Sum_DGDG_Sum_PC;Sum_LPC_Sum_PC;Sum_LPC_Sum_SQDG;Sum_LPE_Sum_PC;Sum_MG_Sum_PC;Sum_MGDG_Sum_PC;Sum_PA_Sum_PC	5;4;12;13;2;5;13;8	SNP_74947832;SNP_74947832;SNP_74947832;SNP_74946485;SNP_74947832;SNP_74947832;SNP_74946653;SNP_74947832	1.049875e-11;9.024652e-12;3.226701e-12;7.865221e-155;3.008556e-19;4.04804e-12;3.820873e-10;2.463007e-25	8
1	SORBI_3001G542300	Sum_DG_Sum_PC;Sum_DGDG_Sum_PC;Sum_LPC_Sum_MG;Sum_LPC_Sum_PC;Sum_LPC_Sum_SQDG;Sum_LPE_Sum_PC;Sum_MG_Sum_PC;Sum_PA_Sum_PC	8;7;9;9;8;4;14;31	SNP_80563902;SNP_80563902;SNP_80563054;SNP_80563143;SNP_80563902;SNP_80563902;SNP_80563902;SNP_80560684	2.316858e-06;2.29889e-06;6.807679e-06;4.913947e-07;1.777398e-44;2.195309e-10;1.995555e-06;7.127651e-12	8
1	SORBI_3001G542400	Sum_DG_Sum_PC;Sum_DGDG_Sum_PC;Sum_LPC_Sum_MG;Sum_LPC_Sum_PC;Sum_LPC_Sum_SQDG;Sum_LPE_Sum_PC;Sum_MG_Sum_PC;Sum_PA_Sum_PC	9;10;11;11;10;5;13;30	SNP_80563902;SNP_80563902;SNP_80563054;SNP_80563143;SNP_80563902;SNP_80563902;SNP_80563902;SNP_80563902	2.316858e-06;2.29889e-06;6.807679e-06;4.913947e-07;1.777398e-44;2.195309e-10;1.995555e-06;7.127651e-12	8
8	SORBI_3008G086700	Sum_DG_Sum_LPC;Sum_DGDG_Sum_LPC;Sum_LPC_Sum_PG;Sum_LPC_Sum_SQDG;Sum_LPE_Sum_PC;Sum_PA_Sum_PC;Sum_PC_Sum_PG;Sum_PC_Sum_PS	47;50;19;45;42;33;22;42	SNP_17611713;SNP_17611713;SNP_17613179;SNP_17611729;SNP_17611676;SNP_17611678;SNP_17613179;SNP_17605374	1.879547e-08;2.009382e-06;3.652889e-06;3.008196e-16;5.960256e-06;5.592581e-06;1.903046e-06;3.753775e-07	8
8	SORBI_3008G092800	Sum_LPC_Sum_MGDG;Sum_LPC_Sum_PC;Sum_LPC_Sum_PE;Sum_LPC_Sum_PG;Sum_LPC_Sum_SM;Sum_PC_Sum_PG;Sum_PC_Sum_PS;Sum_PC_Sum_SQDG	88;18;15;18;16;16;23;23	SNP_41506183;SNP_41510158;SNP_41509674;SNP_41507513;SNP_41505818;SNP_41507513;SNP_41510347;SNP_41510283	1.267708e-09;2.11098e-06;9.192855e-09;2.179485e-16;9.184585e-07;8.262007e-19;7.086882e-44;3.901828e-16	8
8	SORBI_3008G192900	Sum_DGDG_Sum_PC;Sum_LPC_Sum_PC;Sum_LPC_Sum_TG;Sum_MG_Sum_PC;Sum_PA_Sum_PC;Sum_PC_Sum_PS;Sum_PC_Sum_SM;Sum_PC_Sum_TG	73;39;1;69;55;91;49;4	SNP_62638526;SNP_62638832;SNP_62657840;SNP_62638526;SNP_62638860;SNP_62638551;SNP_62616066;SNP_62657840	1.422132e-07;7.286124e-07;2.32424e-06;5.562452e-07;3.150319e-06;2.327712e-06;8.052043e-09;1.391671e-07	8
1	SORBI_3001G078400	Sum_DGDG_Sum_PC;Sum_LPC_Sum_SQDG;Sum_LPC_Sum_TG;Sum_MG_Sum_PC;Sum_PA_Sum_PC;Sum_PC_Sum_PE;Sum_PC_Sum_TG	318;15;19;346;195;50;16	SNP_6004826;SNP_6006534;SNP_6027635;SNP_6004780;SNP_6006242;SNP_6006646;SNP_6027635	6.381146e-06;8.745447e-06;8.395609e-06;3.510569e-06;8.13644e-07;1.600823e-06;2.936378e-06	7
