Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
7	SORBI_3007G112500	Sum_PS_Sum_SQDG;Sum_PG_Sum_SQDG;Sum_PE_Sum_SQDG;Sum_PC_Sum_SQDG;Sum_DGDG_Sum_SQDG	14;16;11;5;16	SNP_43547094;SNP_43546882;SNP_43544596;SNP_43544596;SNP_43547043	9.168519e-08;1.199226e-09;3.252311e-18;3.364192e-26;5.012887e-09	5
1	SORBI_3001G476700	Sum_PS_Sum_SQDG;Sum_PG_Sum_SQDG;Sum_PE_Sum_SQDG;Sum_DGDG_Sum_SQDG	18;51;21;18	SNP_74946485;SNP_74939065;SNP_74946485;SNP_74946485	8.80666e-200;3.266436e-95;2.148769e-31;1.277467e-189	4
1	SORBI_3001G476800	Sum_PS_Sum_SQDG;Sum_PG_Sum_SQDG;Sum_PE_Sum_SQDG;Sum_DGDG_Sum_SQDG	11;45;13;11	SNP_74946485;SNP_74939065;SNP_74946485;SNP_74946485	8.80666e-200;3.266436e-95;2.148769e-31;1.277467e-189	4
1	SORBI_3001G542300	Sum_PS_Sum_SQDG;Sum_PG_Sum_SQDG;Sum_PE_Sum_SQDG;Sum_DGDG_Sum_SQDG	11;7;5;11	SNP_80563902;SNP_80563902;SNP_80563902;SNP_80563902	2.060154e-48;4.744756e-35;6.889143e-15;2.659131e-48	4
1	SORBI_3001G542400	Sum_PS_Sum_SQDG;Sum_PG_Sum_SQDG;Sum_PE_Sum_SQDG;Sum_DGDG_Sum_SQDG	13;9;8;11	SNP_80563902;SNP_80563902;SNP_80563902;SNP_80563902	2.060154e-48;4.744756e-35;6.889143e-15;2.659131e-48	4
5	SORBI_3005G111700	Sum_PS_Sum_SQDG;Sum_PG_Sum_SQDG;Sum_PE_Sum_SQDG;Sum_DGDG_Sum_SQDG	25;21;30;26	SNP_36856059;SNP_36856059;SNP_36856059;SNP_36856059	4.581846e-32;1.08494e-17;2.592635e-14;4.77594e-29	4
2	SORBI_3002G002600	Sum_PS_Sum_SQDG;Sum_PG_Sum_SQDG;Sum_DGDG_Sum_SQDG	5;37;3	SNP_347338;SNP_347338;SNP_347338	4.038635e-10;9.952525e-08;4.081649e-10	3
2	SORBI_3002G104050	Sum_PS_Sum_SQDG;Sum_PG_Sum_SQDG;Sum_DGDG_Sum_SQDG	10;5;9	SNP_12269220;SNP_12269220;SNP_12269220	9.884315e-09;5.619172e-08;2.594694e-09	3
2	SORBI_3002G104100	Sum_PS_Sum_SQDG;Sum_PG_Sum_SQDG;Sum_DGDG_Sum_SQDG	7;4;7	SNP_12269220;SNP_12269220;SNP_12269220	9.884315e-09;5.619172e-08;2.594694e-09	3
2	SORBI_3002G161400	Sum_PS_Sum_SQDG;Sum_PG_Sum_SQDG;Sum_DGDG_Sum_SQDG	62;25;51	SNP_49762501;SNP_49762505;SNP_49762961	2.072029e-08;4.046132e-11;7.088322e-08	3
3	SORBI_3003G137600	Sum_PS_Sum_SQDG;Sum_PG_Sum_SQDG;Sum_DGDG_Sum_SQDG	39;25;37	SNP_13222455;SNP_13224805;SNP_13222455	8.422163e-11;6.1695e-08;5.570392e-11	3
