Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
1	SORBI_3001G311500	Sum_MG	62	SNP_59848705	2.582905e-06	1
1	SORBI_3001G311601	Sum_MG	58	SNP_59848705	2.582905e-06	1
1	SORBI_3001G311700	Sum_MG	77	SNP_59848705	2.582905e-06	1
1	SORBI_3001G311800	Sum_MG	76	SNP_59848705	2.582905e-06	1
4	SORBI_3004G217000	Sum_MG	15	SNP_56672401	7.564466e-06	1
4	SORBI_3004G217100	Sum_MG	13	SNP_56672401	7.564466e-06	1
4	SORBI_3004G217200	Sum_MG	14	SNP_56672401	7.564466e-06	1
4	SORBI_3004G217300	Sum_MG	16	SNP_56672401	7.564466e-06	1
4	SORBI_3004G217400	Sum_MG	15	SNP_56672588	7.564466e-06	1
4	SORBI_3004G217450	Sum_MG	15	SNP_56672588	7.564466e-06	1
5	SORBI_3005G013500	Sum_MG	61	SNP_1232133	9.623503e-06	1
5	SORBI_3005G013550	Sum_MG	57	SNP_1232687	9.623503e-06	1
5	SORBI_3005G013600	Sum_MG	48	SNP_1232687	9.623503e-06	1
5	SORBI_3005G013700	Sum_MG	55	SNP_1233047	9.623503e-06	1
5	SORBI_3005G013800	Sum_MG	57	SNP_1233047	9.623503e-06	1
5	SORBI_3005G015450	Sum_MG	50	SNP_1409165	7.152931e-06	1
5	SORBI_3005G015600	Sum_MG	57	SNP_1409165	7.152931e-06	1
5	SORBI_3005G015700	Sum_MG	50	SNP_1409180	7.152931e-06	1
5	SORBI_3005G061000	Sum_MG	15	SNP_6425207	3.255311e-06	1
5	SORBI_3005G061033	Sum_MG	17	SNP_6425207	3.255311e-06	1
6	SORBI_3006G202200	Sum_MG	291	SNP_55350439	4.10047e-06	1
6	SORBI_3006G202300	Sum_MG	305	SNP_55350456	4.10047e-06	1
6	SORBI_3006G202401	Sum_MG	286	SNP_55350586	4.10047e-06	1
6	SORBI_3006G202500	Sum_MG	271	SNP_55350703	4.10047e-06	1
6	SORBI_3006G202600	Sum_MG	248	SNP_55352950	4.10047e-06	1
6	SORBI_3006G202700	Sum_MG	279	SNP_55353002	4.10047e-06	1
6	SORBI_3006G202800	Sum_MG	195	SNP_55355042	4.10047e-06	1
6	SORBI_3006G202900	Sum_MG	160	SNP_55355499	4.10047e-06	1
6	SORBI_3006G208000	Sum_MG	64	SNP_55760500	8.422706e-06	1
6	SORBI_3006G208050	Sum_MG	78	SNP_55760500	8.422706e-06	1
6	SORBI_3006G214000	Sum_MG	23	SNP_56253709	6.496899e-06	1
6	SORBI_3006G214200	Sum_MG	23	SNP_56256781	6.496899e-06	1
6	SORBI_3006G214300	Sum_MG	66	SNP_56256782	6.496899e-06	1
6	SORBI_3006G214400	Sum_MG	70	SNP_56290997	6.427795e-06	1
6	SORBI_3006G214500	Sum_MG	67	SNP_56290997	6.427795e-06	1
6	SORBI_3006G214600	Sum_MG	26	SNP_56291699	6.427795e-06	1
6	SORBI_3006G214700	Sum_MG	17	SNP_56291699	6.427795e-06	1
6	SORBI_3006G214800	Sum_MG	8	SNP_56291751	6.427795e-06	1
6	SORBI_3006G215400	Sum_MG	68	SNP_56355199	2.8002e-06	1
6	SORBI_3006G215500	Sum_MG	105	SNP_56355199	2.8002e-06	1
6	SORBI_3006G215600	Sum_MG	149	SNP_56364963	1.825621e-06	1
6	SORBI_3006G215650	Sum_MG	129	SNP_56365471	1.825621e-06	1
6	SORBI_3006G215700	Sum_MG	125	SNP_56365482	1.825621e-06	1
6	SORBI_3006G215750	Sum_MG	114	SNP_56365506	1.825621e-06	1
6	SORBI_3006G215800	Sum_MG	173	SNP_56365794	1.825621e-06	1
6	SORBI_3006G215900	Sum_MG	140	SNP_56394299	2.331224e-06	1
6	SORBI_3006G215950	Sum_MG	134	SNP_56394642	2.331224e-06	1
6	SORBI_3006G216000	Sum_MG	152	SNP_56396128	2.229847e-06	1
6	SORBI_3006G216100	Sum_MG	131	SNP_56396330	2.229847e-06	1
6	SORBI_3006G216150	Sum_MG	82	SNP_56402479	2.229847e-06	1
6	SORBI_3006G216200	Sum_MG	90	SNP_56406099	3.055952e-06	1
6	SORBI_3006G216300	Sum_MG	71	SNP_56409515	3.055952e-06	1
6	SORBI_3006G216400	Sum_MG	63	SNP_56422120	5.075727e-06	1
8	SORBI_3008G005300	Sum_MG	5	SNP_490235	8.439896e-06	1
8	SORBI_3008G005400	Sum_MG	5	SNP_490235	8.439896e-06	1
8	SORBI_3008G005600	Sum_MG	13	SNP_490235	8.439896e-06	1
8	SORBI_3008G005700	Sum_MG	18	SNP_490235	8.439896e-06	1
8	SORBI_3008G005800	Sum_MG	18	SNP_490235	8.439896e-06	1
9	SORBI_3009G166300	Sum_MG	10	SNP_52275087	9.921794e-06	1
