Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
8	SORBI_3008G092800	FA_18_4_,Sum_AEG_Sum_LPC,Sum_AEG_Sum_LPE,Sum_AEG_Sum_PA,Sum_AEG_Sum_PC,Sum_AEG_Sum_PS,Sum_AEG_Sum_TG,Sum_Cer,Sum_Cer_Sum_FA,Sum_Cer_Sum_LPE,Sum_Cer_Sum_PC,Sum_DG_Sum_PA,Sum_DG_Sum_PS,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPC,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_PC,Sum_DGDG_Sum_PS,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPE,Sum_FA_Sum_MGDG,Sum_FA_Sum_PA,Sum_FA_Sum_PC,Sum_LPC_Sum_LPE,Sum_LPC_Sum_MGDG,Sum_LPC_Sum_PA,Sum_LPC_Sum_PE,Sum_LPC_Sum_PS,Sum_LPC_Sum_TG,Sum_LPE_Sum_PA,Sum_LPE_Sum_PC,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PC,Sum_MGDG_Sum_PS,Sum_MGDG_Sum_TG,Sum_PA_Sum_PC,Sum_PA_Sum_PE,Sum_PA_Sum_PS,Sum_PA_Sum_TG,Sum_PC_Sum_PS,Sum_PE_Sum_PS,Sum_PG_Sum_PS,Sum_PS_Sum_SQDG,TG_52_6_,TG_56_5_	16,36,29,10,107,8,75,44,9,33,29,10,9,38,26,29,12,30,8,48,32,34,43,7,166,31,53,13,29,17,94,13,24,32,36,24,9,29,103,20,9,26,10,8,10,13,53,44	SNP_41479391,SNP_41481859,SNP_41478946,SNP_41481075,SNP_41479064,SNP_41481284,SNP_41478982,SNP_41479013,SNP_41479013,SNP_41484435,SNP_41481284,SNP_41506915,SNP_41481284,SNP_41479064,SNP_41481085,SNP_41484435,SNP_41481522,SNP_41479064,SNP_41481284,SNP_41479064,SNP_41481085,SNP_41484435,SNP_41479013,SNP_41481085,SNP_41479064,SNP_41484435,SNP_41479013,SNP_41481522,SNP_41479013,SNP_41481148,SNP_41478982,SNP_41481522,SNP_41481859,SNP_41481148,SNP_41479122,SNP_41479064,SNP_41479206,SNP_41479064,SNP_41481518,SNP_41479013,SNP_41481148,SNP_41481419,SNP_41481148,SNP_41481148,SNP_41479206,SNP_41481075,SNP_41479122,SNP_41479122	1.836703e-08,2.786372e-08,1.890291e-12,1.039363e-22,1.117345e-17,6.365684e-08,1.033869e-13,3.489457e-09,1.209163e-08,7.030741e-11,2.73341e-20,7.489456e-28,3.849344e-20,1.286956e-14,3.064598e-10,1.397574e-12,1.170983e-25,2.22699e-35,2.825247e-17,5.403454e-15,2.05886e-17,7.400066e-08,2.160093e-15,2.28761e-35,1.931791e-26,7.78509e-11,3.810908e-10,1.368232e-16,3.262731e-13,2.205225e-26,6.85412e-08,1.589829e-23,6.394891e-08,5.551194e-26,1.102689e-19,7.898366e-21,7.397911e-16,2.364834e-14,6.146577e-17,1.134788e-08,1.999191e-31,1.189146e-08,5.741467e-16,1.22611e-18,2.816127e-20,6.117146e-10,1.617351e-08,2.914024e-15	48
9	SORBI_3009G090800	SQDG_34_1_,Sum_AEG_Sum_DGDG,Sum_AEG_Sum_PE,Sum_Cer_Sum_DGDG,Sum_DG_Sum_SQDG,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPC,Sum_DGDG_Sum_PG,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_MG,Sum_LPC_Sum_PS,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PG,Sum_MGDG_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_PG,Sum_PA_Sum_PS,Sum_PA_Sum_SQDG,Sum_PA_Sum_TG,Sum_PC_Sum_PG,Sum_PC_Sum_SQDG,Sum_PE_Sum_PG,Sum_PS_Sum_SQDG,TG_58_5_,TG_58_6_,TG_60_6_	43,64,59,67,39,29,32,67,30,66,58,46,56,68,20,24,112,65,35,70,57,48,20,96,66,44,46	SNP_17748518,SNP_17747780,SNP_17747780,SNP_17747780,SNP_17750223,SNP_17748504,SNP_17776518,SNP_17750523,SNP_17748504,SNP_17748488,SNP_17747780,SNP_17747780,SNP_17747780,SNP_17750523,SNP_17774862,SNP_17748504,SNP_17747780,SNP_17747780,SNP_17746771,SNP_17747797,SNP_17746771,SNP_17746771,SNP_17749353,SNP_17746771,SNP_17746771,SNP_17748480,SNP_17751494	5.471015e-08,9.432389e-10,1.054265e-09,7.666173e-10,1.159235e-09,3.244187e-14,3.539681e-08,1.856291e-21,4.761891e-11,5.542116e-19,1.04835e-12,7.488034e-08,7.698891e-08,5.067839e-10,6.384343e-10,4.88488e-16,1.586066e-16,8.451496e-09,3.511588e-13,2.567733e-10,1.213778e-12,1.296843e-09,2.88956e-30,1.469157e-09,2.466314e-08,2.609362e-10,1.15387e-10	27
4	SORBI_3004G139400	Sum_AEG_Sum_LPE,Sum_AEG_Sum_PA,Sum_AEG_Sum_PE,Sum_Cer_Sum_LPE,Sum_Cer_Sum_PE,Sum_DG_Sum_PA,Sum_DG_Sum_PE,Sum_DG_Sum_PG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_MGDG,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_PE,Sum_DGDG_Sum_PG,Sum_FA_Sum_LPC,Sum_FA_Sum_LPE,Sum_LPC_Sum_LPE,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA,Sum_LPE_Sum_PC,Sum_LPE_Sum_PE,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PC,Sum_MGDG_Sum_PE,Sum_PA_Sum_PE,Sum_PC_Sum_PE	45,7,14,91,47,22,47,5,62,60,19,49,53,41,34,39,18,27,62,41,12,21,51,33,46	SNP_39981927,SNP_39977806,SNP_39974771,SNP_39977109,SNP_39974771,SNP_39975244,SNP_39974771,SNP_39989610,SNP_39981927,SNP_39977109,SNP_39975244,SNP_39974771,SNP_39974771,SNP_39975214,SNP_39981744,SNP_39981927,SNP_39975244,SNP_39975244,SNP_39975214,SNP_39974771,SNP_39977806,SNP_39989390,SNP_39974771,SNP_39974771,SNP_39974771	4.243129e-28,4.51038e-11,1.470049e-08,2.886548e-21,5.466295e-32,2.691728e-13,2.226744e-29,2.413587e-08,6.648514e-28,9.220925e-13,2.089699e-12,9.382958e-40,6.275296e-08,3.51255e-09,7.059123e-14,6.667431e-19,1.866281e-08,6.740573e-12,1.153636e-13,1.037357e-22,1.157851e-09,3.327065e-09,4.158342e-35,8.904486e-10,2.623256e-25	25
3	SORBI_3003G169600	AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,Sum_AEG_Sum_DGDG,Sum_AEG_Sum_PE,Sum_Cer_Sum_DGDG,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_LPE_Sum_PE,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_TG,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	55,40,52,47,10,48,12,52,53,90,18,47,63,58,45,63,66,46,70,65,49,72,34,47	SNP_29144290,SNP_29126774,SNP_29137353,SNP_29137119,SNP_29154885,SNP_29117788,SNP_29154885,SNP_29117788,SNP_29117788,SNP_29117535,SNP_29119011,SNP_29117788,SNP_29136879,SNP_29138063,SNP_29137353,SNP_29138063,SNP_29136879,SNP_29136879,SNP_29136879,SNP_29136879,SNP_29136824,SNP_29136824,SNP_29136879,SNP_29136879	4.517329e-15,8.04332e-10,1.517901e-18,4.753417e-12,6.381729e-08,5.699865e-12,4.675612e-08,2.88812e-11,7.148175e-09,7.156806e-10,7.915071e-13,6.180639e-08,8.918061e-13,2.260136e-13,6.781664e-14,6.40724e-20,3.343361e-39,2.283938e-09,2.33134e-15,3.876274e-24,1.399465e-14,6.983884e-67,3.14031e-08,3.823809e-10	24
5	SORBI_3005G110493	FA_22_0__amide,PC_32_3_,Sum_AEG_Sum_Cer,Sum_AEG_Sum_LPE,Sum_Cer_Sum_LPE,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPE,Sum_FA_Sum_MGDG,Sum_FA_Sum_PA,Sum_LPC_Sum_LPE,Sum_LPC_Sum_MGDG,Sum_LPE_Sum_MGDG,Sum_LPE_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_SQDG_Sum_TG,TG_58_5_,TG_58_6_,TG_60_5_,TG_60_6_	40,15,21,39,25,28,24,62,67,26,24,22,27,49,25,28,62,56,83,85,66,69	SNP_30942955,SNP_30944253,SNP_30947466,SNP_30942955,SNP_30944096,SNP_30941108,SNP_30942999,SNP_30941108,SNP_30941108,SNP_30942955,SNP_30944253,SNP_30940844,SNP_30944096,SNP_30942709,SNP_30942555,SNP_30940842,SNP_30943514,SNP_30941108,SNP_30941067,SNP_30942638,SNP_30944705,SNP_30942903	9.037323e-09,4.414792e-09,5.574991e-13,2.752925e-14,1.975879e-11,7.968752e-15,1.654208e-14,1.400905e-09,5.715765e-08,7.62966e-09,1.388398e-11,1.383916e-08,2.152339e-13,8.446163e-18,2.29562e-17,1.129855e-09,1.138048e-17,6.209255e-08,6.10077e-13,1.827879e-09,8.894658e-11,1.703138e-10	22
3	SORBI_3003G180300	DG_16_0_,PC_38_3_,Sum_AEG_Sum_LPE,Sum_AEG_Sum_MGDG,Sum_Cer_Sum_FA,Sum_Cer_Sum_LPE,Sum_Cer_Sum_MG,Sum_Cer_Sum_PC,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPE,Sum_LPC_Sum_LPE,Sum_LPC_Sum_MG,Sum_LPE_Sum_MG,Sum_PA_Sum_TG,Sum_PC_Sum_PG,Sum_SQDG_Sum_TG,TG_24_0_,TG_28_0_,TG_56_5_	46,37,27,27,32,33,20,37,38,29,36,24,26,31,33,34,14,24,60,44,29	SNP_47189445,SNP_47190125,SNP_47191209,SNP_47191146,SNP_47191012,SNP_47190143,SNP_47189062,SNP_47189122,SNP_47190143,SNP_47190381,SNP_47189111,SNP_47191287,SNP_47191209,SNP_47189062,SNP_47189062,SNP_47189102,SNP_47191163,SNP_47191163,SNP_47189445,SNP_47189445,SNP_47190381	1.387308e-49,8.126775e-08,3.193701e-14,3.175809e-11,3.372369e-08,4.397444e-13,4.02459e-09,2.585677e-08,6.729556e-14,3.293782e-08,3.767141e-10,9.229765e-09,3.737568e-12,1.826531e-08,2.780614e-10,2.128542e-13,1.905834e-08,6.594111e-17,6.671802e-42,9.062677e-29,7.561441e-08	21
6	SORBI_3006G038200	Sum_AEG_Sum_LPE,Sum_AEG_Sum_PE,Sum_AEG_Sum_PS,Sum_Cer_Sum_PC,Sum_Cer_Sum_PG,Sum_DG_Sum_PS,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_PS,Sum_FA_Sum_PC,Sum_LPC_Sum_PC,Sum_LPC_Sum_PS,Sum_LPE_Sum_PE,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PS,Sum_PA_Sum_PC,Sum_PA_Sum_PE,Sum_PA_Sum_PS,Sum_PC_Sum_PS,Sum_PE_Sum_PS,Sum_PG_Sum_PS,TG_54_6_	20,65,147,100,96,24,29,26,22,158,38,56,39,35,26,24,37,18,19,29,67	SNP_15369543,SNP_15365138,SNP_15365195,SNP_15365111,SNP_15365111,SNP_15369783,SNP_15369801,SNP_15369783,SNP_15369850,SNP_15365023,SNP_15369783,SNP_15365138,SNP_15369783,SNP_15365826,SNP_15369596,SNP_15369868,SNP_15369783,SNP_15369836,SNP_15369783,SNP_15369783,SNP_15365826	4.036055e-08,4.213367e-12,2.277741e-23,3.728017e-26,8.961458e-08,6.162136e-82,5.852927e-08,8.050844e-65,1.045172e-10,6.83639e-20,2.430544e-133,7.405046e-09,9.868438e-131,8.020801e-58,2.915991e-09,4.229645e-08,2.307589e-255,1.239662e-57,4.68346e-73,2.353929e-83,5.834441e-08	21
3	SORBI_3003G169700	AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_TG,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	40,35,34,36,17,16,10,24,51,50,36,59,58,34,55,54,41,61,26,36	SNP_29144290,SNP_29144290,SNP_29144290,SNP_29144290,SNP_29147453,SNP_29143908,SNP_29143908,SNP_29143908,SNP_29144290,SNP_29144290,SNP_29148040,SNP_29144290,SNP_29144290,SNP_29151070,SNP_29144290,SNP_29144290,SNP_29144290,SNP_29144290,SNP_29144290,SNP_29144290	4.517329e-15,8.04332e-10,1.517901e-18,4.753417e-12,2.88812e-11,7.148175e-09,7.915071e-13,6.180639e-08,8.918061e-13,2.260136e-13,6.781664e-14,6.40724e-20,3.343361e-39,2.283938e-09,2.33134e-15,3.876274e-24,1.399465e-14,6.983884e-67,3.14031e-08,3.823809e-10	20
3	SORBI_3003G169800	AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_TG,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_	28,28,19,24,16,13,8,20,42,38,35,45,45,34,45,42,32,47,24,35	SNP_29150223,SNP_29151063,SNP_29151218,SNP_29151117,SNP_29149653,SNP_29149653,SNP_29150057,SNP_29150057,SNP_29151063,SNP_29150263,SNP_29151063,SNP_29151063,SNP_29151063,SNP_29151070,SNP_29151063,SNP_29151063,SNP_29151070,SNP_29151063,SNP_29151063,SNP_29150263	4.517329e-15,8.04332e-10,1.517901e-18,4.753417e-12,2.88812e-11,7.148175e-09,7.915071e-13,6.180639e-08,8.918061e-13,2.260136e-13,6.781664e-14,6.40724e-20,3.343361e-39,2.283938e-09,2.33134e-15,3.876274e-24,1.399465e-14,6.983884e-67,3.14031e-08,3.823809e-10	20
3	SORBI_3003G175950	AEG_o_30_2_,Sum_AEG_Sum_Cer,Sum_DG_Sum_PS,Sum_DG_Sum_TG,Sum_DGDG_Sum_PS,Sum_DGDG_Sum_TG,Sum_LPC_Sum_PS,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PS,Sum_MGDG_Sum_TG,Sum_PA_Sum_PS,Sum_PA_Sum_TG,Sum_PC_Sum_PS,Sum_PE_Sum_PS,Sum_PG_Sum_PS,TG_52_5_,TG_52_6_,TG_56_4_,TG_56_5_	86,9,8,16,5,16,10,13,6,10,8,16,3,4,4,81,93,75,89	SNP_44528871,SNP_44524954,SNP_44529020,SNP_44523697,SNP_44529020,SNP_44523697,SNP_44529020,SNP_44529020,SNP_44529020,SNP_44529361,SNP_44529020,SNP_44529361,SNP_44530130,SNP_44530130,SNP_44530130,SNP_44528881,SNP_44528881,SNP_44528881,SNP_44528881	3.323363e-08,2.657193e-15,2.65326e-14,5.330105e-15,1.938577e-13,1.148962e-11,3.630461e-19,1.240254e-19,6.116838e-11,3.726487e-17,1.255181e-23,3.716877e-10,3.915301e-13,1.40043e-15,3.367221e-17,1.788213e-08,6.890542e-09,2.957365e-08,1.460947e-10	19
