Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
1	SORBI_3001G229500	PG(16:0_16:0);PG(16:0_18:0)	20;25	SNP_22147472;SNP_22147472	4.177171e-06;3.561145e-06	2
1	SORBI_3001G256400	PG(16:0_16:0);PG(16:0_18:0)	41;41	SNP_29805122;SNP_29805122	6.740895e-07;5.88805e-06	2
1	SORBI_3001G311500	PG(16:0_16:0);PG(16:0_18:0)	59;59	SNP_59821340;SNP_59821340	3.93384e-06;5.96951e-07	2
1	SORBI_3001G311601	PG(16:0_16:0);PG(16:0_18:0)	63;65	SNP_59831271;SNP_59831271	3.93384e-06;5.96951e-07	2
1	SORBI_3001G311700	PG(16:0_16:0);PG(16:0_18:0)	85;86	SNP_59843709;SNP_59843709	3.93384e-06;5.96951e-07	2
1	SORBI_3001G311800	PG(16:0_16:0);PG(16:0_18:0)	84;85	SNP_59844733;SNP_59844733	3.93384e-06;5.96951e-07	2
5	SORBI_3005G114500	PG(16:0_16:0);PG(16:0_18:0)	12;16	SNP_43235569;SNP_43235561	3.508387e-06;5.450532e-06	2
5	SORBI_3005G151350	PG(16:0_16:0);PG(16:0_18:0)	36;44	SNP_62062049;SNP_62061995	5.236622e-06;9.192814e-06	2
6	SORBI_3006G214300	PG(16:0_16:0);PG(16:0_18:0)	67;63	SNP_56248415;SNP_56251210	1.119983e-07;5.367377e-07	2
6	SORBI_3006G214400	PG(16:0_16:0);PG(16:0_18:0)	71;72	SNP_56271774;SNP_56271774	1.119983e-07;5.367377e-07	2
6	SORBI_3006G214500	PG(16:0_16:0);PG(16:0_18:0)	73;76	SNP_56274522;SNP_56274522	1.119983e-07;5.367377e-07	2
6	SORBI_3006G215500	PG(16:0_16:0);PG(16:0_18:0)	110;112	SNP_56339057;SNP_56339057	8.976168e-06;6.042223e-06	2
6	SORBI_3006G215600	PG(16:0_16:0);PG(16:0_18:0)	150;152	SNP_56343449;SNP_56343449	8.976168e-06;6.042223e-06	2
