Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
10	SORBI_3010G165300	SQDG(16:0_16:0);SQDG(16:0_18:1);SQDG(16:0_18:2);SQDG(16:0_18:3)	104;104;70;80	SNP_48902166;SNP_48898200;SNP_48902506;SNP_48900695	3.732026e-08;1.463787e-09;2.802773e-07;5.581153e-07	4
10	SORBI_3010G165400	SQDG(16:0_16:0);SQDG(16:0_18:1);SQDG(16:0_18:2);SQDG(16:0_18:3)	66;76;55;61	SNP_48903202;SNP_48903466;SNP_48903339;SNP_48901533	3.732026e-08;4.437464e-09;2.802773e-07;5.691122e-07	4
10	SORBI_3010G165500	SQDG(16:0_16:0);SQDG(16:0_18:1);SQDG(16:0_18:2);SQDG(16:0_18:3)	31;42;31;29	SNP_48909009;SNP_48926470;SNP_48910275;SNP_48908974	1.387355e-06;1.764705e-08;5.517737e-06;7.408662e-07	4
1	SORBI_3001G427200	SQDG(16:0_16:0);SQDG(16:0_18:1);SQDG(16:0_18:3)	11;10;19	SNP_70639918;SNP_70639918;SNP_70658331	2.10291e-07;4.303288e-06;4.050001e-06	3
1	SORBI_3001G427300	SQDG(16:0_16:0);SQDG(16:0_18:1);SQDG(16:0_18:3)	16;16;30	SNP_70639918;SNP_70639918;SNP_70658331	2.10291e-07;4.303288e-06;4.050001e-06	3
10	SORBI_3010G111400	SQDG(16:0_16:0);SQDG(16:0_18:1);SQDG(16:0_18:2)	37;55;54	SNP_11223115;SNP_11223115;SNP_11223115	9.184273e-06;5.254833e-11;7.931113e-06	3
10	SORBI_3010G111450	SQDG(16:0_16:0);SQDG(16:0_18:1);SQDG(16:0_18:2)	36;55;60	SNP_11223115;SNP_11223115;SNP_11223115	9.184273e-06;5.254833e-11;7.931113e-06	3
10	SORBI_3010G123750	SQDG(16:0_16:0);SQDG(16:0_18:1);SQDG(16:0_18:2)	151;91;41	SNP_14646596;SNP_14651388;SNP_14654223	4.031663e-07;6.232295e-13;3.487206e-07	3
10	SORBI_3010G123800	SQDG(16:0_16:0);SQDG(16:0_18:1);SQDG(16:0_18:2)	67;72;51	SNP_14651119;SNP_14654223;SNP_14654223	4.031663e-07;6.232295e-13;3.487206e-07	3
10	SORBI_3010G158000	SQDG(16:0_16:0);SQDG(16:0_18:1);SQDG(16:0_18:2)	91;130;48	SNP_46415948;SNP_46416109;SNP_46414620	4.657172e-07;7.521949e-11;9.357039e-06	3
1	SORBI_3001G211000	SQDG(16:0_16:0);SQDG(16:0_18:1)	17;14	SNP_19414164;SNP_19414164	8.13542e-06;4.096248e-09	2
1	SORBI_3001G211101	SQDG(16:0_16:0);SQDG(16:0_18:1)	20;19	SNP_19414164;SNP_19414164	8.13542e-06;4.096248e-09	2
1	SORBI_3001G211200	SQDG(16:0_16:0);SQDG(16:0_18:1)	20;20	SNP_19414164;SNP_19414164	8.13542e-06;4.096248e-09	2
1	SORBI_3001G253400	SQDG(16:0_16:0);SQDG(16:0_18:1)	43;47	SNP_27607719;SNP_27607689	5.614563e-06;2.059217e-09	2
1	SORBI_3001G260701	SQDG(16:0_16:0);SQDG(16:0_18:1)	44;45	SNP_31890688;SNP_31890956	3.962595e-07;1.463838e-11	2
1	SORBI_3001G260800	SQDG(16:0_16:0);SQDG(16:0_18:1)	41;48	SNP_31890956;SNP_31890956	3.962595e-07;1.463838e-11	2
1	SORBI_3001G263300	SQDG(16:0_18:1);SQDG(16:0_18:2)	109;27	SNP_47921286;SNP_47921400	4.681579e-06;7.794098e-06	2
1	SORBI_3001G279000	SQDG(16:0_18:1);SQDG(16:0_18:2)	26;21	SNP_54459660;SNP_54459666	7.974847e-07;3.093089e-06	2
1	SORBI_3001G311500	SQDG(16:0_18:1);SQDG(16:0_18:2)	64;56	SNP_59848705;SNP_59848705	1.151521e-06;3.022256e-06	2
1	SORBI_3001G311601	SQDG(16:0_18:1);SQDG(16:0_18:2)	59;62	SNP_59848705;SNP_59848705	1.151521e-06;3.022256e-06	2
1	SORBI_3001G311700	SQDG(16:0_18:1);SQDG(16:0_18:2)	80;84	SNP_59848705;SNP_59848705	1.151521e-06;3.022256e-06	2
1	SORBI_3001G311800	SQDG(16:0_18:1);SQDG(16:0_18:2)	79;83	SNP_59848705;SNP_59848705	1.151521e-06;3.022256e-06	2
1	SORBI_3001G360500	SQDG(16:0_14:0);SQDG(16:0_18:2)	196;196	SNP_65019549;SNP_65020772	8.051444e-06;9.398192e-06	2
1	SORBI_3001G360600	SQDG(16:0_14:0);SQDG(16:0_18:2)	360;359	SNP_65019549;SNP_65020772	8.051444e-06;9.398192e-06	2
1	SORBI_3001G400900	SQDG(16:0_16:0);SQDG(16:0_18:1)	8;6	SNP_68651241;SNP_68648070	2.762506e-06;7.585007e-07	2
1	SORBI_3001G401000	SQDG(16:0_16:0);SQDG(16:0_18:1)	10;7	SNP_68651241;SNP_68648070	2.762506e-06;7.585007e-07	2
1	SORBI_3001G426900	SQDG(16:0_16:0);SQDG(16:0_18:1)	3;4	SNP_70639474;SNP_70639474	2.152599e-07;9.132296e-06	2
1	SORBI_3001G427000	SQDG(16:0_16:0);SQDG(16:0_18:1)	6;6	SNP_70639918;SNP_70639918	2.10291e-07;4.303288e-06	2
1	SORBI_3001G427100	SQDG(16:0_16:0);SQDG(16:0_18:1)	6;6	SNP_70639918;SNP_70639918	2.10291e-07;4.303288e-06	2
2	SORBI_3002G012900	SQDG(16:0_16:0);SQDG(16:0_18:1)	143;148	SNP_1182301;SNP_1182336	3.740201e-06;9.916214e-07	2
2	SORBI_3002G013000	SQDG(16:0_16:0);SQDG(16:0_18:1)	149;151	SNP_1182301;SNP_1182336	3.740201e-06;9.916214e-07	2
2	SORBI_3002G013200	SQDG(16:0_16:0);SQDG(16:0_18:1)	144;147	SNP_1182301;SNP_1182336	3.740201e-06;9.916214e-07	2
2	SORBI_3002G013300	SQDG(16:0_16:0);SQDG(16:0_18:1)	47;51	SNP_1199955;SNP_1200144	2.167397e-06;2.680454e-07	2
2	SORBI_3002G013400	SQDG(16:0_16:0);SQDG(16:0_18:1)	57;61	SNP_1199955;SNP_1200144	2.167397e-06;2.680454e-07	2
2	SORBI_3002G013500	SQDG(16:0_16:0);SQDG(16:0_18:1)	58;82	SNP_1199955;SNP_1200144	2.167397e-06;2.680454e-07	2
2	SORBI_3002G013550	SQDG(16:0_16:0);SQDG(16:0_18:1)	32;57	SNP_1215664;SNP_1215664	3.434061e-06;6.798876e-07	2
2	SORBI_3002G013600	SQDG(16:0_16:0);SQDG(16:0_18:1)	27;55	SNP_1215664;SNP_1215664	3.434061e-06;6.798876e-07	2
2	SORBI_3002G013700	SQDG(16:0_16:0);SQDG(16:0_18:1)	28;57	SNP_1215664;SNP_1215664	3.434061e-06;6.798876e-07	2
