Chromosome	gene	max_pvalue	phenotype	phenotype_number
6	SORBI_3006G214400	9.680562e-06	_10E_15E__9_12_13_trihydroxyoctadeca_10_15_dienoic_acid,14_15__Epoxy_5Z_8Z_11Z_eicosatrienoic_acid__methyl_ester,5_6__Epoxy_8Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,8_9__Epoxy_5Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,AEG_o_34_4_,Alloxanthin,Celaxanthin,DG_18_3_,DG_34_1_,DG_34_2_,DG_34_3_,DG_36_4_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,Di__gamma__linolenin_6c_9c_12c_,Diadinochrome,Empenthrin,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MG_18_3_,MGDG_36_5_,MGDG_36_6_,Nandrolone	26
6	SORBI_3006G214500	9.680562e-06	_10E_15E__9_12_13_trihydroxyoctadeca_10_15_dienoic_acid,14_15__Epoxy_5Z_8Z_11Z_eicosatrienoic_acid__methyl_ester,5_6__Epoxy_8Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,8_9__Epoxy_5Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,AEG_o_34_4_,Alloxanthin,Celaxanthin,DG_18_3_,DG_34_1_,DG_34_2_,DG_34_3_,DG_36_4_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,Di__gamma__linolenin_6c_9c_12c_,Diadinochrome,Empenthrin,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MG_18_3_,MGDG_36_5_,MGDG_36_6_,Nandrolone	26
6	SORBI_3006G214700	7.659753e-06	13_Keto_9Z_11E_octadecadienoic_acid,14_15__Epoxy_5Z_8Z_11Z_eicosatrienoic_acid__methyl_ester,5_6__Epoxy_8Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,8_9__Epoxy_5Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,9_12_Octadecadiynoic_Acid,9_Oxo_10_E__12_E__octadecadienoic_acid,AEG_o_34_4_,Alloxanthin,DG_18_3_,DG_34_1_,DG_34_2_,DG_34_3_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,Di__gamma__linolenin_6c_9c_12c_,Diadinochrome,FA_18_4_,FA_22_1_,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MG_18_3_,MGDG_36_5_,MGDG_36_6_	26
6	SORBI_3006G214600	7.659753e-06	13_Keto_9Z_11E_octadecadienoic_acid,14_15__Epoxy_5Z_8Z_11Z_eicosatrienoic_acid__methyl_ester,5_6__Epoxy_8Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,8_9__Epoxy_5Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,9_12_Octadecadiynoic_Acid,9_Oxo_10_E__12_E__octadecadienoic_acid,AEG_o_34_4_,Alloxanthin,DG_18_3_,DG_34_1_,DG_34_2_,DG_34_3_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,Di__gamma__linolenin_6c_9c_12c_,Diadinochrome,FA_18_4_,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MG_18_3_,MGDG_36_5_,MGDG_36_6_	25
6	SORBI_3006G214800	6.022001e-06	13_Keto_9Z_11E_octadecadienoic_acid,14_15__Epoxy_5Z_8Z_11Z_eicosatrienoic_acid__methyl_ester,5_6__Epoxy_8Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,8_9__Epoxy_5Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,9_12_Octadecadiynoic_Acid,9_Oxo_10_E__12_E__octadecadienoic_acid,AEG_o_34_4_,Alloxanthin,DG_18_3_,DG_34_1_,DG_34_2_,DG_34_3_,DG_36_5_,DGDG_34_2_,Di__gamma__linolenin_6c_9c_12c_,Diadinochrome,FA_18_4_,FA_22_1_,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MG_18_3_,MGDG_36_5_,MGDG_36_6_	25
6	SORBI_3006G214300	6.004347e-06	_10E_15E__9_12_13_trihydroxyoctadeca_10_15_dienoic_acid,AEG_o_34_4_,Alloxanthin,Celaxanthin,DG_34_1_,DG_34_2_,DG_34_3_,DG_34_4_,DG_36_4_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,DGDG_36_3_,Diadinochrome,Empenthrin,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MGDG_36_4_,MGDG_36_5_,Nandrolone	22
6	SORBI_3006G215400	9.868962e-06	13_Keto_9Z_11E_octadecadienoic_acid,14_15__Epoxy_5Z_8Z_11Z_eicosatrienoic_acid__methyl_ester,5_6__Epoxy_8Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,8_9__Epoxy_5Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,9_12_Octadecadiynoic_Acid,9_Oxo_10_E__12_E__octadecadienoic_acid,DG_34_1_,DG_34_2_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,DGDG_34_3_,FA_18_4_,FA_22_1_,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MG_18_3_,MGDG_34_3_,MGDG_36_5_,MGDG_36_6_	22
6	SORBI_3006G215500	9.868962e-06	13_Keto_9Z_11E_octadecadienoic_acid,14_15__Epoxy_5Z_8Z_11Z_eicosatrienoic_acid__methyl_ester,5_6__Epoxy_8Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,8_9__Epoxy_5Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,9_12_Octadecadiynoic_Acid,9_Oxo_10_E__12_E__octadecadienoic_acid,DG_34_1_,DG_34_2_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,DGDG_34_3_,FA_18_4_,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MG_18_3_,MGDG_34_3_,MGDG_36_4_,MGDG_36_5_,MGDG_36_6_	22
6	SORBI_3006G215600	9.006622e-06	13_Keto_9Z_11E_octadecadienoic_acid,14_15__Epoxy_5Z_8Z_11Z_eicosatrienoic_acid__methyl_ester,5_6__Epoxy_8Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,8_9__Epoxy_5Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,9_12_Octadecadiynoic_Acid,9_Oxo_10_E__12_E__octadecadienoic_acid,DG_34_1_,DG_34_2_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,DGDG_34_3_,FA_18_4_,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MG_18_3_,MGDG_34_3_,MGDG_36_4_,MGDG_36_5_,MGDG_36_6_	22
4	SORBI_3004G103000	3.807641e-06	_10E_15E__9_12_13_trihydroxyoctadeca_10_15_dienoic_acid,11_14_17_Eicosatrienoic_acid__Z_Z_Z__,13_Keto_9Z_11E_octadecadienoic_acid,19_Norandrosterone,3_Methoxylimaprost,4_alpha___beta__Hydroxyprostanozol,5_7_Dimethoxy_3_hydroxyflavone,9_12_Octadecadiynoic_Acid,9_Oxo_10_E__12_E__octadecadienoic_acid,Cembrane_Diterpene_minus_Me,Docosapentaenamide,Empenthrin,FA_18_4_,FA_22_1_,h_22_methandriol_m,Hydroperoxy_fatty_acid__18_3_,LPC_16_0_,Nandrolone,NCGC00179780_02_C20H32O__5xi_9xi__Beyer_15_en_18_ol	19
4	SORBI_3004G103100	3.807641e-06	_10E_15E__9_12_13_trihydroxyoctadeca_10_15_dienoic_acid,11_14_17_Eicosatrienoic_acid__Z_Z_Z__,13_Keto_9Z_11E_octadecadienoic_acid,19_Norandrosterone,3_Methoxylimaprost,4_alpha___beta__Hydroxyprostanozol,5_7_Dimethoxy_3_hydroxyflavone,9_12_Octadecadiynoic_Acid,9_Oxo_10_E__12_E__octadecadienoic_acid,Cembrane_Diterpene_minus_Me,Docosapentaenamide,Empenthrin,FA_18_4_,FA_22_1_,h_22_methandriol_m,Hydroperoxy_fatty_acid__18_3_,LPC_16_0_,Nandrolone,NCGC00179780_02_C20H32O__5xi_9xi__Beyer_15_en_18_ol	19
6	SORBI_3006G214000	6.004347e-06	AEG_o_34_4_,Alloxanthin,Celaxanthin,DG_34_1_,DG_34_2_,DG_34_3_,DG_34_4_,DG_36_4_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,DGDG_36_3_,Diadinochrome,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MGDG_36_4_,MGDG_36_5_	19
6	SORBI_3006G214200	6.004347e-06	AEG_o_34_4_,Alloxanthin,Celaxanthin,DG_34_1_,DG_34_2_,DG_34_3_,DG_34_4_,DG_36_4_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,DGDG_36_3_,Diadinochrome,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MGDG_36_4_,MGDG_36_5_	19
6	SORBI_3006G216600	9.841137e-06	13_Keto_9Z_11E_octadecadienoic_acid,9_12_Octadecadiynoic_Acid,9_Oxo_10_E__12_E__octadecadienoic_acid,DG_34_1_,DG_34_2_,DG_36_4_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,DGDG_36_5_,Empenthrin,FA_18_4_,FA_22_1_,GalCer_d38_3_,MG_12_0_,MG_18_2_,MGDG_34_1_,MGDG_36_5_,Nandrolone	19
1	SORBI_3001G238000	9.881566e-06	_10E_15E__9_12_13_trihydroxyoctadeca_10_15_dienoic_acid,_beta__Cryptoxanthin,11_14_17_Eicosatrienoic_acid__Z_Z_Z__,13_Keto_9Z_11E_octadecadienoic_acid,16_16_Dimethylprostaglandin_A1,4_alpha___beta__Hydroxyprostanozol,9_12_Octadecadiynoic_Acid,9_Oxo_10_E__12_E__octadecadienoic_acid,Cembrane_Diterpene_minus_Me,DG_34_4_,Docosapentaenamide,Empenthrin,FA_18_4_,h_22_methandriol_m,Hydroperoxy_fatty_acid__18_3_,Nandrolone,NCGC00179780_02_C20H32O__5xi_9xi__Beyer_15_en_18_ol,NCGC00380867_01_C27H46O9_9_12_15_Octadecatrienoic_acid__3__hexopyranosyloxy__2_hydroxypropyl_ester__9Z_12Z_15Z__	18
4	SORBI_3004G103200	3.807641e-06	_10E_15E__9_12_13_trihydroxyoctadeca_10_15_dienoic_acid,11_14_17_Eicosatrienoic_acid__Z_Z_Z__,13_Keto_9Z_11E_octadecadienoic_acid,19_Norandrosterone,4_alpha___beta__Hydroxyprostanozol,5_7_Dimethoxy_3_hydroxyflavone,9_12_Octadecadiynoic_Acid,9_Oxo_10_E__12_E__octadecadienoic_acid,Cembrane_Diterpene_minus_Me,Docosapentaenamide,Empenthrin,FA_18_4_,FA_22_1_,h_22_methandriol_m,Hydroperoxy_fatty_acid__18_3_,LPC_16_0_,Nandrolone,NCGC00179780_02_C20H32O__5xi_9xi__Beyer_15_en_18_ol	18
6	SORBI_3006G207900	8.09051e-06	3_Methoxylimaprost,AEG_o_32_3_,AEG_o_34_4_,Alpha_Carotene,beta_Carotene,DG_34_1_,DG_34_2_,DG_36_4_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,DGDG_34_3_,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MGDG_36_5_,MGDG_36_6_	18
6	SORBI_3006G208000	7.337996e-06	3_Methoxylimaprost,AEG_o_32_3_,AEG_o_34_4_,Alpha_Carotene,beta_Carotene,DG_34_1_,DG_34_2_,DG_36_4_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,DGDG_34_3_,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MGDG_36_5_,MGDG_36_6_	18
6	SORBI_3006G208050	7.337996e-06	3_Methoxylimaprost,AEG_o_32_3_,AEG_o_34_4_,Alpha_Carotene,beta_Carotene,DG_34_1_,DG_34_2_,DG_36_4_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,DGDG_34_3_,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MGDG_36_5_,MGDG_36_6_	18
6	SORBI_3006G215650	7.50504e-06	14_15__Epoxy_5Z_8Z_11Z_eicosatrienoic_acid__methyl_ester,5_6__Epoxy_8Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,8_9__Epoxy_5Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,DG_34_1_,DG_34_2_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,DGDG_34_3_,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MG_18_3_,MGDG_34_3_,MGDG_36_4_,MGDG_36_5_,MGDG_36_6_	18
6	SORBI_3006G215700	7.50504e-06	14_15__Epoxy_5Z_8Z_11Z_eicosatrienoic_acid__methyl_ester,5_6__Epoxy_8Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,8_9__Epoxy_5Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,DG_34_1_,DG_34_2_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,DGDG_34_3_,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MG_18_3_,MGDG_34_3_,MGDG_36_4_,MGDG_36_5_,MGDG_36_6_	18
6	SORBI_3006G215750	7.50504e-06	14_15__Epoxy_5Z_8Z_11Z_eicosatrienoic_acid__methyl_ester,5_6__Epoxy_8Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,8_9__Epoxy_5Z_11Z_14Z_eicosatrienoic_acid__methyl_ester,DG_34_1_,DG_34_2_,DG_36_5_,DGDG_34_1_,DGDG_34_2_,DGDG_34_3_,GalCer_d38_3_,MG_12_0_,MG_16_0_,MG_18_2_,MG_18_3_,MGDG_34_3_,MGDG_36_4_,MGDG_36_5_,MGDG_36_6_	18
1	SORBI_3001G311700	9.327202e-06	____Caryophyllene_oxide,5_7_Dimethoxy_3_hydroxyflavone,AEG_o_34_4_,AEG_o_34_5_,AEG_o_36_6_,DG_34_1_,DG_36_2_,DG_36_3_,DG_36_4_,DGDG_34_2_,DGDG_36_2_,DGDG_36_3_,DGDG_36_6_,GalCer_d38_3_,MG_12_0_,MG_16_0_,MGDG_36_4_	17
1	SORBI_3001G311800	9.327202e-06	____Caryophyllene_oxide,5_7_Dimethoxy_3_hydroxyflavone,AEG_o_34_4_,AEG_o_34_5_,AEG_o_36_6_,DG_34_1_,DG_36_2_,DG_36_3_,DG_36_4_,DGDG_34_2_,DGDG_36_2_,DGDG_36_3_,DGDG_36_6_,GalCer_d38_3_,MG_12_0_,MG_16_0_,MGDG_36_4_	17
