Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
1	SORBI_3001G232800	Lycopene	55	SNP_22673163	3.161471e-06	1
2	SORBI_3002G132500	Lycopene	18	SNP_18902777	9.347219e-06	1
2	SORBI_3002G138900	Lycopene	5	SNP_21656705	9.642208e-06	1
2	SORBI_3002G396900	Lycopene	39	SNP_74870361	7.72588e-06	1
2	SORBI_3002G397001	Lycopene	45	SNP_74874346	7.72588e-06	1
2	SORBI_3002G397100	Lycopene	32	SNP_74884449	7.72588e-06	1
3	SORBI_3003G129600	Lycopene	47	SNP_12121662	1.989277e-06	1
3	SORBI_3003G129700	Lycopene	18	SNP_12133011	1.989277e-06	1
3	SORBI_3003G129800	Lycopene	14	SNP_12142261	1.989277e-06	1
3	SORBI_3003G129900	Lycopene	9	SNP_12147234	1.989277e-06	1
3	SORBI_3003G152200	Lycopene	44	SNP_16154057	9.20842e-06	1
5	SORBI_3005G088700	Lycopene	13	SNP_12709927	9.988787e-06	1
5	SORBI_3005G174500	Lycopene	97	SNP_65454382	5.56681e-06	1
5	SORBI_3005G174600	Lycopene	87	SNP_65471212	5.56681e-06	1
5	SORBI_3005G174700	Lycopene	66	SNP_65472090	5.56681e-06	1
5	SORBI_3005G175300	Lycopene	18	SNP_65689564	3.083389e-06	1
5	SORBI_3005G175400	Lycopene	86	SNP_65703336	3.083389e-06	1
6	SORBI_3006G026900	Lycopene	13	SNP_4969878	8.83692e-06	1
6	SORBI_3006G075650	Lycopene	4	SNP_44008818	4.658207e-06	1
