Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
6	SORBI_3006G207900	Alpha-Carotene;beta-Carotene;Ubiquinone 9;Vitamin K1;Zeaxanthin	52;52;44;57;57	SNP_55731173;SNP_55731173;SNP_55731173;SNP_55731173;SNP_55731173	5.644885e-06;5.644879e-06;9.218744e-06;8.899691e-06;5.452791e-06	5
6	SORBI_3006G208000	Alpha-Carotene;beta-Carotene;Ubiquinone 9;Vitamin K1;Zeaxanthin	74;74;67;78;78	SNP_55746128;SNP_55746128;SNP_55746128;SNP_55746081;SNP_55746081	3.521052e-06;3.521046e-06;2.45585e-06;3.426247e-06;3.564147e-06	5
6	SORBI_3006G208050	Alpha-Carotene;beta-Carotene;Ubiquinone 9;Vitamin K1;Zeaxanthin	89;89;84;95;94	SNP_55746128;SNP_55746128;SNP_55746128;SNP_55746081;SNP_55746081	3.521052e-06;3.521046e-06;2.45585e-06;3.426247e-06;3.564147e-06	5
8	SORBI_3008G093500	3-Epilupeol;gamma-sitosterol;Glycerol Tri-n-octanoate - 40.0 eV;NAE(16:0);NAE(18:0)	31;28;36;36;53	SNP_43371477;SNP_43370577;SNP_43375454;SNP_43375449;SNP_43361481	2.099036e-09;4.588741e-06;6.671802e-42;3.487852e-22;4.253685e-14	5
1	SORBI_3001G300400	Cycloartenol acetate;FA(22:1);Glycerol Tri-n-octanoate - 40.0 eV;Lupeol	57;26;27;52	SNP_58158501;SNP_58158656;SNP_58158875;SNP_58158501	4.730971e-07;5.051352e-07;1.948771e-06;6.96652e-07	4
1	SORBI_3001G300450	Cycloartenol acetate;FA(22:1);Glycerol Tri-n-octanoate - 40.0 eV;Lupeol	124;48;26;145	SNP_58179897;SNP_58181047;SNP_58180764;SNP_58179897	4.730971e-07;4.843056e-08;1.948771e-06;6.96652e-07	4
1	SORBI_3001G381100	9,12,13,TriHODE;Cycloartenol acetate;NAE(16:0);NAE(18:0)	21;119;92;10	SNP_66878056;SNP_66878743;SNP_66881375;SNP_66892804	7.713916e-06;3.056367e-06;7.430598e-06;2.408283e-06	4
1	SORBI_3001G381200	9,12,13,TriHODE;Cycloartenol acetate;NAE(16:0);NAE(18:0)	38;129;97;10	SNP_66893774;SNP_66887225;SNP_66888421;SNP_66892804	7.713916e-06;3.056367e-06;7.430598e-06;2.408283e-06	4
1	SORBI_3001G381250	9,12,13,TriHODE;Cycloartenol acetate;NAE(16:0);NAE(18:0)	42;105;75;10	SNP_66901664;SNP_66899580;SNP_66899580;SNP_66899825	7.713916e-06;3.056367e-06;7.430598e-06;2.408283e-06	4
3	SORBI_3003G098500	9,12,13,TriHODE;Antheraxanthin;Cycloartenol acetate;Fucosterol	45;11;69;13	SNP_8687371;SNP_8690019;SNP_8687355;SNP_8693438	1.871225e-06;7.448287e-06;8.564931e-09;9.128602e-06	4
3	SORBI_3003G098600	9,12,13,TriHODE;Antheraxanthin;Cycloartenol acetate;Fucosterol	45;12;73;14	SNP_8687371;SNP_8690019;SNP_8687355;SNP_8693438	1.871225e-06;7.448287e-06;8.564931e-09;9.128602e-06	4
3	SORBI_3003G098650	9,12,13,TriHODE;Antheraxanthin;Cycloartenol acetate;Fucosterol	44;15;69;17	SNP_8688428;SNP_8690019;SNP_8688335;SNP_8693438	1.871225e-06;7.448287e-06;8.564931e-09;9.128602e-06	4
3	SORBI_3003G098700	9,12,13,TriHODE;Antheraxanthin;Cycloartenol acetate;Fucosterol	41;12;63;17	SNP_8698555;SNP_8693438;SNP_8693438;SNP_8693438	1.871225e-06;7.448287e-06;8.564931e-09;9.128602e-06	4
6	SORBI_3006G214400	8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester;9,12,13,TriHODE;Vitamin K1;Zeaxanthin	68;82;49;71	SNP_56271774;SNP_56270442;SNP_56271774;SNP_56271774	5.302414e-07;2.6616e-06;2.138422e-07;1.848891e-07	4
6	SORBI_3006G214500	8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester;9,12,13,TriHODE;Vitamin K1;Zeaxanthin	67;75;50;74	SNP_56274522;SNP_56274522;SNP_56274835;SNP_56274522	5.302414e-07;2.6616e-06;2.138422e-07;1.848891e-07	4
1	SORBI_3001G179740	alpha-Tocopherol;NAE(18:0);Ubiquinone 9	19;60;97	SNP_15193363;SNP_15196469;SNP_15193516	4.987441e-07;1.970969e-06;7.07663e-08	3
1	SORBI_3001G221950	Cycloartenol acetate;NAE(16:0);NAE(18:0)	21;39;40	SNP_21085022;SNP_21083969;SNP_21077844	2.60182e-06;7.146816e-07;6.780883e-09	3
1	SORBI_3001G223550	9,12,13,TriHODE;gamma-sitosterol;NAE(18:0)	22;10;5	SNP_21426713;SNP_21426739;SNP_21449382	5.487382e-06;1.368329e-06;5.374397e-06	3
1	SORBI_3001G223700	9,12,13,TriHODE;gamma-sitosterol;NAE(18:0)	21;6;5	SNP_21444154;SNP_21449382;SNP_21449382	5.487382e-06;1.368329e-06;5.374397e-06	3
1	SORBI_3001G223900	9,12,13,TriHODE;gamma-sitosterol;NAE(18:0)	21;6;5	SNP_21444154;SNP_21449382;SNP_21449382	5.487382e-06;1.368329e-06;5.374397e-06	3
1	SORBI_3001G224000	9,12,13,TriHODE;gamma-sitosterol;NAE(18:0)	73;6;5	SNP_21444154;SNP_21449382;SNP_21449382	5.487382e-06;1.368329e-06;5.374397e-06	3
1	SORBI_3001G225400	Lutein;NAE(16:0);NAE(18:0)	16;30;32	SNP_21546680;SNP_21545817;SNP_21545817	3.715488e-06;6.397516e-10;1.146468e-11	3
