Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
1	SORBI_3001G225400	Lutein	16	SNP_21546680	3.715488e-06	1
1	SORBI_3001G225500	Lutein	17	SNP_21550097	3.715488e-06	1
1	SORBI_3001G225600	Lutein	15	SNP_21556651	3.715488e-06	1
1	SORBI_3001G225700	Lutein	15	SNP_21565214	3.715488e-06	1
1	SORBI_3001G225800	Lutein	15	SNP_21565214	3.715488e-06	1
1	SORBI_3001G237600	Lutein	15	SNP_24191557	1.612553e-07	1
1	SORBI_3001G357100	Lutein	262	SNP_64689239	5.961356e-06	1
1	SORBI_3001G357200	Lutein	129	SNP_64696648	5.961356e-06	1
1	SORBI_3001G357300	Lutein	31	SNP_64704661	5.961356e-06	1
2	SORBI_3002G174000	Lutein	24	SNP_55016957	3.291077e-06	1
2	SORBI_3002G174100	Lutein	14	SNP_55035337	3.291077e-06	1
2	SORBI_3002G174300	Lutein	27	SNP_55180440	6.41658e-06	1
2	SORBI_3002G174400	Lutein	34	SNP_55180440	6.41658e-06	1
2	SORBI_3002G174700	Lutein	22	SNP_55259276	3.518064e-06	1
2	SORBI_3002G176900	Lutein	234	SNP_55648012	6.736098e-06	1
2	SORBI_3002G177000	Lutein	103	SNP_55670139	6.736098e-06	1
2	SORBI_3002G177100	Lutein	74	SNP_55678112	6.736098e-06	1
2	SORBI_3002G340700	Lutein	37	SNP_70754298	8.683429e-06	1
2	SORBI_3002G340900	Lutein	74	SNP_70758419	8.683429e-06	1
2	SORBI_3002G341000	Lutein	64	SNP_70773098	7.316011e-06	1
2	SORBI_3002G341100	Lutein	87	SNP_70780875	1.805564e-06	1
2	SORBI_3002G341200	Lutein	90	SNP_70785539	1.805564e-06	1
2	SORBI_3002G341300	Lutein	135	SNP_70796949	1.805564e-06	1
2	SORBI_3002G341400	Lutein	147	SNP_70806931	1.805564e-06	1
2	SORBI_3002G341500	Lutein	182	SNP_70814413	4.500164e-06	1
4	SORBI_3004G065650	Lutein	46	SNP_5309650	8.151091e-06	1
4	SORBI_3004G065700	Lutein	43	SNP_5313965	8.151091e-06	1
4	SORBI_3004G065800	Lutein	32	SNP_5317936	8.151091e-06	1
4	SORBI_3004G065850	Lutein	23	SNP_5321299	8.151091e-06	1
4	SORBI_3004G246100	Lutein	58	SNP_59379140	8.198467e-06	1
4	SORBI_3004G246200	Lutein	48	SNP_59386998	8.198467e-06	1
4	SORBI_3004G246300	Lutein	77	SNP_59397844	8.198467e-06	1
4	SORBI_3004G246400	Lutein	169	SNP_59401278	8.198467e-06	1
6	SORBI_3006G211100	Lutein	10	SNP_56066063	1.867508e-06	1
6	SORBI_3006G211400	Lutein	11	SNP_56066063	1.867508e-06	1
6	SORBI_3006G211500	Lutein	9	SNP_56077579	1.867508e-06	1
6	SORBI_3006G211600	Lutein	8	SNP_56082450	1.867508e-06	1
7	SORBI_3007G187700	Lutein	28	SNP_62039125	8.647771e-06	1
7	SORBI_3007G187800	Lutein	41	SNP_62057101	8.647771e-06	1
7	SORBI_3007G188900	Lutein	89	SNP_62156971	1.391379e-07	1
7	SORBI_3007G189000	Lutein	89	SNP_62156971	1.391379e-07	1
7	SORBI_3007G189100	Lutein	146	SNP_62174310	1.391379e-07	1
7	SORBI_3007G189400	Lutein	38	SNP_62206526	1.504908e-06	1
7	SORBI_3007G189500	Lutein	25	SNP_62225318	1.504908e-06	1
8	SORBI_3008G059100	Lutein	85	SNP_6233743	8.932646e-06	1
9	SORBI_3009G081700	Lutein	52	SNP_11624224	5.781187e-06	1
9	SORBI_3009G081800	Lutein	34	SNP_11636049	5.781187e-06	1
9	SORBI_3009G089700	Lutein	4	SNP_16264060	7.99813e-06	1
