Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
1	SORBI_3001G039300	Sum_PA_Sum_PC	36	SNP_2920223	1.426494e-08	1
1	SORBI_3001G039400	Sum_PA_Sum_PC	24	SNP_2931804	1.426494e-08	1
1	SORBI_3001G039500	Sum_PA_Sum_PC	24	SNP_2940852	1.426494e-08	1
1	SORBI_3001G039600	Sum_PA_Sum_PC	24	SNP_2940852	1.426494e-08	1
1	SORBI_3001G039700	Sum_PA_Sum_PC	20	SNP_2944025	1.426494e-08	1
1	SORBI_3001G040000	Sum_PA_Sum_PC	22	SNP_2971211	3.947426e-06	1
1	SORBI_3001G040100	Sum_PA_Sum_PC	22	SNP_2971211	3.947426e-06	1
1	SORBI_3001G040200	Sum_PA_Sum_PC	12	SNP_2977053	3.947426e-06	1
1	SORBI_3001G205200	Sum_PA_Sum_PC	145	SNP_18763310	3.025142e-06	1
1	SORBI_3001G220600	Sum_PA_Sum_PC	19	SNP_20745267	9.502919e-06	1
1	SORBI_3001G220800	Sum_PA_Sum_PC	25	SNP_20757859	9.502919e-06	1
1	SORBI_3001G220900	Sum_PA_Sum_PC	24	SNP_20761855	9.502919e-06	1
1	SORBI_3001G240000	Sum_PA_Sum_PC	93	SNP_24679899	3.186049e-08	1
1	SORBI_3001G240100	Sum_PA_Sum_PC	86	SNP_24683614	3.186049e-08	1
1	SORBI_3001G240300	Sum_PA_Sum_PC	57	SNP_24695108	3.186049e-08	1
1	SORBI_3001G240400	Sum_PA_Sum_PC	48	SNP_24697716	3.186049e-08	1
1	SORBI_3001G240500	Sum_PA_Sum_PC	35	SNP_24708591	1.182926e-07	1
1	SORBI_3001G250600	Sum_PA_Sum_PC	31	SNP_27068563	9.073746e-06	1
1	SORBI_3001G250700	Sum_PA_Sum_PC	32	SNP_27069105	9.073746e-06	1
1	SORBI_3001G250750	Sum_PA_Sum_PC	26	SNP_27072496	9.073746e-06	1
1	SORBI_3001G261472	Sum_PA_Sum_PC	1	SNP_34779716	1.001021e-06	1
1	SORBI_3001G262400	Sum_PA_Sum_PC	2	SNP_46549617	1.341715e-07	1
1	SORBI_3001G262500	Sum_PA_Sum_PC	5	SNP_46549617	1.341715e-07	1
1	SORBI_3001G273800	Sum_PA_Sum_PC	52	SNP_53005944	8.051342e-06	1
1	SORBI_3001G273875	Sum_PA_Sum_PC	148	SNP_53029404	8.051342e-06	1
1	SORBI_3001G275950	Sum_PA_Sum_PC	112	SNP_53615808	2.582666e-08	1
1	SORBI_3001G289900	Sum_PA_Sum_PC	22	SNP_56679962	2.322485e-06	1
1	SORBI_3001G290000	Sum_PA_Sum_PC	22	SNP_56679962	2.322485e-06	1
1	SORBI_3001G298400	Sum_PA_Sum_PC	39	SNP_57906099	9.933602e-06	1
1	SORBI_3001G301400	Sum_PA_Sum_PC	7	SNP_58306727	3.036859e-06	1
1	SORBI_3001G320700	Sum_PA_Sum_PC	155	SNP_60824113	5.952216e-06	1
1	SORBI_3001G320800	Sum_PA_Sum_PC	149	SNP_60828744	5.952216e-06	1
1	SORBI_3001G320900	Sum_PA_Sum_PC	173	SNP_60847301	4.866879e-06	1
1	SORBI_3001G321000	Sum_PA_Sum_PC	99	SNP_60855797	4.866879e-06	1
1	SORBI_3001G444600	Sum_PA_Sum_PC	236	SNP_72144190	5.855922e-06	1
1	SORBI_3001G444700	Sum_PA_Sum_PC	237	SNP_72152394	5.855922e-06	1
1	SORBI_3001G444800	Sum_PA_Sum_PC	190	SNP_72154814	5.855922e-06	1
1	SORBI_3001G444900	Sum_PA_Sum_PC	169	SNP_72157843	5.855922e-06	1
1	SORBI_3001G446800	Sum_PA_Sum_PC	31	SNP_72359237	1.349399e-06	1
1	SORBI_3001G476400	Sum_PA_Sum_PC	71	SNP_74861910	1.777569e-06	1
1	SORBI_3001G476500	Sum_PA_Sum_PC	98	SNP_74868472	1.777569e-06	1
2	SORBI_3002G009300	Sum_PA_Sum_PC	10	SNP_825428	2.177027e-06	1
2	SORBI_3002G009401	Sum_PA_Sum_PC	8	SNP_846319	2.177027e-06	1
2	SORBI_3002G009500	Sum_PA_Sum_PC	10	SNP_846319	2.177027e-06	1
2	SORBI_3002G009600	Sum_PA_Sum_PC	11	SNP_846319	2.177027e-06	1
2	SORBI_3002G036800	Sum_PA_Sum_PC	15	SNP_3556525	8.035189e-06	1
2	SORBI_3002G036850	Sum_PA_Sum_PC	16	SNP_3556525	8.035189e-06	1
2	SORBI_3002G037400	Sum_PA_Sum_PC	94	SNP_3657292	1.627884e-06	1
2	SORBI_3002G038733	Sum_PA_Sum_PC	38	SNP_3772974	4.895173e-07	1
2	SORBI_3002G038866	Sum_PA_Sum_PC	46	SNP_3772974	4.895173e-07	1
2	SORBI_3002G039000	Sum_PA_Sum_PC	106	SNP_3790192	4.895173e-07	1
2	SORBI_3002G039100	Sum_PA_Sum_PC	96	SNP_3792346	4.895173e-07	1
2	SORBI_3002G056000	Sum_PA_Sum_PC	94	SNP_5367258	5.346557e-06	1
2	SORBI_3002G061800	Sum_PA_Sum_PC	43	SNP_5970616	2.571394e-07	1
2	SORBI_3002G074500	Sum_PA_Sum_PC	157	SNP_7700711	8.360835e-06	1
2	SORBI_3002G074600	Sum_PA_Sum_PC	170	SNP_7709367	8.360835e-06	1
2	SORBI_3002G074700	Sum_PA_Sum_PC	123	SNP_7719631	8.360835e-06	1
2	SORBI_3002G081050	Sum_PA_Sum_PC	12	SNP_8591042	6.033298e-07	1
2	SORBI_3002G081100	Sum_PA_Sum_PC	70	SNP_8606654	6.033298e-07	1
2	SORBI_3002G082300	Sum_PA_Sum_PC	243	SNP_8771294	7.728871e-06	1
2	SORBI_3002G082350	Sum_PA_Sum_PC	118	SNP_8777330	7.728871e-06	1
2	SORBI_3002G083400	Sum_PA_Sum_PC	99	SNP_8898459	9.745952e-06	1
2	SORBI_3002G083500	Sum_PA_Sum_PC	103	SNP_8903225	9.745952e-06	1
2	SORBI_3002G083600	Sum_PA_Sum_PC	34	SNP_8911084	9.745952e-06	1
2	SORBI_3002G083700	Sum_PA_Sum_PC	27	SNP_8916633	9.745952e-06	1
2	SORBI_3002G095400	Sum_PA_Sum_PC	80	SNP_9852194	7.859891e-06	1
2	SORBI_3002G095600	Sum_PA_Sum_PC	21	SNP_9864385	7.859891e-06	1
2	SORBI_3002G108200	Sum_PA_Sum_PC	82	SNP_13096623	3.343583e-06	1
