Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
1	SORBI_3001G012500	gamma-sitosterol	5	SNP_1174462	3.259078e-06	1
1	SORBI_3001G012600	gamma-sitosterol	7	SNP_1174462	3.259078e-06	1
1	SORBI_3001G223400	gamma-sitosterol	9	SNP_21426739	1.368329e-06	1
1	SORBI_3001G223550	gamma-sitosterol	10	SNP_21426739	1.368329e-06	1
1	SORBI_3001G223700	gamma-sitosterol	6	SNP_21449382	1.368329e-06	1
1	SORBI_3001G223900	gamma-sitosterol	6	SNP_21449382	1.368329e-06	1
1	SORBI_3001G224000	gamma-sitosterol	6	SNP_21449382	1.368329e-06	1
1	SORBI_3001G397900	gamma-sitosterol	7	SNP_68359152	4.588741e-06	1
1	SORBI_3001G398000	gamma-sitosterol	8	SNP_68359152	4.588741e-06	1
1	SORBI_3001G422366	gamma-sitosterol	15	SNP_70314598	6.489779e-07	1
1	SORBI_3001G422432	gamma-sitosterol	11	SNP_70321004	6.489779e-07	1
1	SORBI_3001G422500	gamma-sitosterol	11	SNP_70321004	6.489779e-07	1
1	SORBI_3001G422600	gamma-sitosterol	2	SNP_70338136	6.489779e-07	1
1	SORBI_3001G422700	gamma-sitosterol	2	SNP_70338136	6.489779e-07	1
1	SORBI_3001G422800	gamma-sitosterol	1	SNP_70338339	6.489779e-07	1
2	SORBI_3002G006600	gamma-sitosterol	27	SNP_622658	5.576363e-06	1
2	SORBI_3002G006700	gamma-sitosterol	32	SNP_629799	5.576363e-06	1
2	SORBI_3002G006801	gamma-sitosterol	30	SNP_641531	5.576363e-06	1
2	SORBI_3002G015266	gamma-sitosterol	5	SNP_1354922	2.241147e-06	1
2	SORBI_3002G015332	gamma-sitosterol	4	SNP_1374896	2.241147e-06	1
2	SORBI_3002G015400	gamma-sitosterol	5	SNP_1374896	2.241147e-06	1
2	SORBI_3002G015500	gamma-sitosterol	6	SNP_1374896	2.241147e-06	1
3	SORBI_3003G093100	gamma-sitosterol	130	SNP_8091985	6.794287e-06	1
3	SORBI_3003G093200	gamma-sitosterol	103	SNP_8103889	6.794287e-06	1
3	SORBI_3003G093300	gamma-sitosterol	105	SNP_8109123	6.794287e-06	1
3	SORBI_3003G101200	gamma-sitosterol	7	SNP_8950957	1.243913e-07	1
3	SORBI_3003G134400	gamma-sitosterol	20	SNP_12661687	2.075917e-06	1
3	SORBI_3003G134500	gamma-sitosterol	19	SNP_12682921	2.075917e-06	1
3	SORBI_3003G134600	gamma-sitosterol	12	SNP_12685797	2.075917e-06	1
