Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
7	SORBI_3007G112500	Sum_DG_Sum_MG;Sum_DG_Sum_MGDG;Sum_LPC_Sum_MG;Sum_LPC_Sum_MGDG;Sum_LPE_Sum_MG;Sum_LPE_Sum_MGDG;Sum_MG_Sum_PG;Sum_MG_Sum_SQDG;Sum_MG_Sum_TG;Sum_MGDG_Sum_SQDG;Sum_MGDG_Sum_TG	4;43;9;45;8;37;49;14;12;15;14	SNP_43559048;SNP_43542921;SNP_43543042;SNP_43543042;SNP_43543042;SNP_43536664;SNP_43544068;SNP_43547094;SNP_43544337;SNP_43547043;SNP_43544337	5.444404e-06;2.075338e-06;5.149073e-07;1.064741e-06;1.577775e-06;5.528958e-07;3.64707e-06;9.847441e-09;1.571584e-06;1.6657e-09;1.663587e-06	11
6	SORBI_3006G093500	Sum_DG_Sum_MG;Sum_DG_Sum_MGDG;Sum_LPC_Sum_MG;Sum_LPC_Sum_MGDG;Sum_LPE_Sum_MG;Sum_LPE_Sum_MGDG;Sum_MG_Sum_PS;Sum_MG_Sum_TG;Sum_MGDG_Sum_PS;Sum_MGDG_Sum_TG	148;21;96;24;88;24;202;14;208;14	SNP_46345016;SNP_46346419;SNP_46345597;SNP_46346851;SNP_46346280;SNP_46346851;SNP_46352637;SNP_46346497;SNP_46352637;SNP_46346497	2.136184e-10;2.164094e-06;6.333202e-08;6.973879e-10;1.395633e-07;2.916977e-09;3.017385e-09;4.46551e-11;2.718757e-10;5.819482e-11	10
6	SORBI_3006G093550	Sum_DG_Sum_MG;Sum_DG_Sum_MGDG;Sum_LPC_Sum_MG;Sum_LPC_Sum_MGDG;Sum_LPE_Sum_MG;Sum_LPE_Sum_MGDG;Sum_MG_Sum_PS;Sum_MG_Sum_TG;Sum_MGDG_Sum_PS;Sum_MGDG_Sum_TG	112;19;80;24;73;27;223;15;230;15	SNP_46347444;SNP_46346851;SNP_46346691;SNP_46346851;SNP_46347703;SNP_46346851;SNP_46352931;SNP_46346497;SNP_46352937;SNP_46346497	2.136184e-10;2.164094e-06;6.333202e-08;6.973879e-10;1.395633e-07;2.916977e-09;3.017385e-09;4.46551e-11;2.718757e-10;5.819482e-11	10
1	SORBI_3001G008400	Sum_DG_Sum_MG;Sum_LPC_Sum_MG;Sum_LPC_Sum_MGDG;Sum_LPE_Sum_MGDG;Sum_MG_Sum_MGDG;Sum_MG_Sum_PS;Sum_MG_Sum_TG;Sum_MGDG_Sum_PS;Sum_MGDG_Sum_TG	36;30;51;41;12;55;62;68;63	SNP_779805;SNP_777202;SNP_790071;SNP_786536;SNP_790552;SNP_773183;SNP_785617;SNP_773183;SNP_785617	9.796569e-08;7.308755e-06;5.546331e-12;1.61513e-07;2.472584e-07;2.727235e-07;6.070926e-18;3.472515e-08;2.918942e-18	9
2	SORBI_3002G212700	Sum_DG_Sum_MG;Sum_LPC_Sum_MG;Sum_LPC_Sum_MGDG;Sum_LPE_Sum_MG;Sum_LPE_Sum_MGDG;Sum_MG_Sum_SM;Sum_MG_Sum_TG;Sum_MGDG_Sum_SM;Sum_MGDG_Sum_TG	7;10;22;10;21;27;4;27;4	SNP_60518410;SNP_60518410;SNP_60518297;SNP_60518410;SNP_60518282;SNP_60518561;SNP_60518401;SNP_60518561;SNP_60518401	4.20105e-08;9.151392e-07;2.475815e-06;1.847713e-06;6.057198e-06;6.052853e-09;1.249032e-06;6.529043e-09;1.065361e-06	9
2	SORBI_3002G212800	Sum_DG_Sum_MG;Sum_LPC_Sum_MG;Sum_LPC_Sum_MGDG;Sum_LPE_Sum_MG;Sum_LPE_Sum_MGDG;Sum_MG_Sum_SM;Sum_MG_Sum_TG;Sum_MGDG_Sum_SM;Sum_MGDG_Sum_TG	19;33;33;30;36;42;5;40;5	SNP_60518410;SNP_60518410;SNP_60518297;SNP_60518410;SNP_60518282;SNP_60518635;SNP_60518401;SNP_60518601;SNP_60518401	4.20105e-08;9.151392e-07;2.475815e-06;1.847713e-06;6.057198e-06;2.664038e-09;1.249032e-06;2.364496e-09;1.065361e-06	9
2	SORBI_3002G212900	Sum_DG_Sum_MG;Sum_LPC_Sum_MG;Sum_LPC_Sum_MGDG;Sum_LPE_Sum_MG;Sum_LPE_Sum_MGDG;Sum_MG_Sum_SM;Sum_MG_Sum_TG;Sum_MGDG_Sum_SM;Sum_MGDG_Sum_TG	19;33;32;30;35;41;5;40;5	SNP_60518410;SNP_60518410;SNP_60518297;SNP_60518410;SNP_60518282;SNP_60518635;SNP_60518401;SNP_60518601;SNP_60518401	4.20105e-08;9.151392e-07;2.475815e-06;1.847713e-06;6.057198e-06;2.664038e-09;1.249032e-06;2.364496e-09;1.065361e-06	9
2	SORBI_3002G213000	Sum_DG_Sum_MG;Sum_LPC_Sum_MG;Sum_LPC_Sum_MGDG;Sum_LPE_Sum_MG;Sum_LPE_Sum_MGDG;Sum_MG_Sum_SM;Sum_MG_Sum_TG;Sum_MGDG_Sum_SM;Sum_MGDG_Sum_TG	19;33;30;30;32;38;4;38;4	SNP_60518410;SNP_60518410;SNP_60518297;SNP_60518410;SNP_60518282;SNP_60518635;SNP_60518401;SNP_60518601;SNP_60518401	4.20105e-08;9.151392e-07;2.475815e-06;1.847713e-06;6.057198e-06;2.664038e-09;1.249032e-06;2.364496e-09;1.065361e-06	9
2	SORBI_3002G213050	Sum_DG_Sum_MG;Sum_LPC_Sum_MG;Sum_LPC_Sum_MGDG;Sum_LPE_Sum_MG;Sum_LPE_Sum_MGDG;Sum_MG_Sum_SM;Sum_MG_Sum_TG;Sum_MGDG_Sum_SM;Sum_MGDG_Sum_TG	19;33;57;30;37;64;4;33;4	SNP_60518410;SNP_60518410;SNP_60518297;SNP_60518410;SNP_60518282;SNP_60518655;SNP_60518401;SNP_60518655;SNP_60518401	4.20105e-08;9.151392e-07;2.475815e-06;1.847713e-06;6.057198e-06;2.664038e-09;1.249032e-06;2.364496e-09;1.065361e-06	9
2	SORBI_3002G213100	Sum_DG_Sum_MG;Sum_LPC_Sum_MG;Sum_LPC_Sum_MGDG;Sum_LPE_Sum_MG;Sum_LPE_Sum_MGDG;Sum_MG_Sum_SM;Sum_MG_Sum_TG;Sum_MGDG_Sum_SM;Sum_MGDG_Sum_TG	19;33;57;30;38;64;4;33;4	SNP_60518410;SNP_60518410;SNP_60518297;SNP_60518410;SNP_60518282;SNP_60518655;SNP_60518401;SNP_60518655;SNP_60518401	4.20105e-08;9.151392e-07;2.475815e-06;1.847713e-06;6.057198e-06;2.664038e-09;1.249032e-06;2.364496e-09;1.065361e-06	9
