Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
6	SORBI_3006G214000	MG(18:2);DG(16:0_18:2);DG(18:2_18:3)	50;35;41	SNP_56254781;SNP_56255019;SNP_56254279	3.856837e-10;2.785536e-08;7.962184e-10	3
6	SORBI_3006G214200	MG(18:2);DG(16:0_18:2);DG(18:2_18:3)	48;39;46	SNP_56256782;SNP_56256782;SNP_56256781	3.856837e-10;2.785536e-08;7.962184e-10	3
6	SORBI_3006G214300	MG(18:2);DG(16:0_18:2);DG(18:2_18:3)	88;83;101	SNP_56256975;SNP_56256975;SNP_56256782	3.856837e-10;2.785536e-08;7.962184e-10	3
6	SORBI_3006G215500	MG(12:0);MG(16:0);MG(18:2)	105;105;149	SNP_56359579;SNP_56357726;SNP_56360265	4.471976e-08;5.164676e-08;4.863686e-08	3
6	SORBI_3006G215600	MG(12:0);MG(16:0);MG(18:2)	148;148;191	SNP_56359579;SNP_56364874;SNP_56360265	4.471976e-08;3.19244e-08;4.863686e-08	3
6	SORBI_3006G215650	MG(12:0);MG(16:0);MG(18:2)	128;131;132	SNP_56359645;SNP_56364980;SNP_56361704	4.471976e-08;3.19244e-08;4.863686e-08	3
6	SORBI_3006G215700	MG(12:0);MG(16:0);MG(18:2)	124;127;128	SNP_56359653;SNP_56365471;SNP_56361920	4.471976e-08;3.19244e-08;4.863686e-08	3
6	SORBI_3006G215750	MG(12:0);MG(16:0);MG(18:2)	113;116;117	SNP_56360265;SNP_56365501;SNP_56362009	4.471976e-08;3.19244e-08;4.863686e-08	3
6	SORBI_3006G213601	MG(18:2);DG(18:2_18:3)	37;17	SNP_56225922;SNP_56226131	4.189328e-08;1.235153e-09	2
6	SORBI_3006G213700	MG(18:2);DG(18:2_18:3)	39;17	SNP_56225922;SNP_56226131	4.189328e-08;1.235153e-09	2
6	SORBI_3006G213800	MG(18:2);DG(18:2_18:3)	39;19	SNP_56225922;SNP_56226131	4.189328e-08;1.235153e-09	2
6	SORBI_3006G213900	MG(18:2);DG(18:2_18:3)	31;22	SNP_56245293;SNP_56226131	9.087674e-09;1.235153e-09	2
6	SORBI_3006G214101	MG(18:2);DG(18:2_18:3)	33;27	SNP_56245304;SNP_56226757	9.087674e-09;1.235153e-09	2
6	SORBI_3006G214400	MG(18:2);DG(18:2_18:3)	81;90	SNP_56276788;SNP_56289420	2.402116e-08;4.105103e-10	2
6	SORBI_3006G214500	MG(18:2);DG(18:2_18:3)	70;70	SNP_56276788;SNP_56289420	2.402116e-08;4.105103e-10	2
6	SORBI_3006G214600	MG(18:2);DG(18:2_18:3)	29;29	SNP_56290997;SNP_56290997	2.599918e-08;4.105103e-10	2
6	SORBI_3006G214700	MG(18:2);DG(18:2_18:3)	20;19	SNP_56290997;SNP_56290997	2.599918e-08;4.105103e-10	2
6	SORBI_3006G214800	MG(18:2);DG(18:2_18:3)	11;10	SNP_56290997;SNP_56290997	2.599918e-08;4.105103e-10	2
6	SORBI_3006G214900	MG(18:2);DG(18:2_18:3)	4;3	SNP_56293512;SNP_56293512	4.974811e-08;2.393473e-09	2
6	SORBI_3006G215800	MG(16:0);MG(18:2)	175;176	SNP_56365715;SNP_56362534	3.19244e-08;4.863686e-08	2
7	SORBI_3007G048300	DG(18:1_18:3);DG(18:2_18:2)	7;10	SNP_4825063;SNP_4825063	7.419786e-08;5.477774e-08	2
7	SORBI_3007G048400	DG(18:1_18:3);DG(18:2_18:2)	12;15	SNP_4825063;SNP_4825063	7.419786e-08;5.477774e-08	2
7	SORBI_3007G048500	DG(18:1_18:3);DG(18:2_18:2)	15;17	SNP_4825063;SNP_4825063	7.419786e-08;5.477774e-08	2
7	SORBI_3007G048600	DG(18:1_18:3);DG(18:2_18:2)	15;17	SNP_4825063;SNP_4825063	7.419786e-08;5.477774e-08	2
7	SORBI_3007G048700	DG(18:1_18:3);DG(18:2_18:2)	11;12	SNP_4825063;SNP_4825063	7.419786e-08;5.477774e-08	2
1	SORBI_3001G057100	DG(18:0_20:3)	22	SNP_4303626	8.04332e-10	1
1	SORBI_3001G212451	DG(8:0_8:0)	44	SNP_19585148	3.076687e-08	1
1	SORBI_3001G213400	DG(8:0_8:0)	18	SNP_19712516	9.349368e-08	1
1	SORBI_3001G213500	DG(8:0_8:0)	26	SNP_19712516	9.349368e-08	1
1	SORBI_3001G213666	DG(8:0_8:0)	93	SNP_19712516	9.349368e-08	1
1	SORBI_3001G213832	DG(8:0_8:0)	94	SNP_19712516	9.349368e-08	1
1	SORBI_3001G214900	DG(8:0_8:0)	62	SNP_19818819	8.445638e-08	1
1	SORBI_3001G215000	DG(8:0_8:0)	67	SNP_19818819	8.445638e-08	1
